"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","","","","","","","","24.164","9.993","14.574","0","14.574","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-0-8cae9e05d5c0519645dcc5c2645fe2b5c33319e6","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root.record.ItemExhibitList.P5Item","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-0-9fae160c9f06f90a8b472ceeca605cca7b468e40"
"Air National Guard","","","","","","","","","","0.854","0","0.6","0","0.6","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-1-e64a58b49bc4a9bde21657dc8168cf44cd689b19","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root.record.ItemExhibitList.P5Item","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-0-9fae160c9f06f90a8b472ceeca605cca7b468e40"
"Air Force Reserve","","","","","","","","","","0.683","0","0.3","0","0.3","","","","","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-2-ac433ef43c80fe7e9e01130f757e6ab8088ed188","65b1f3391ddbb8c33d75831049cb8f97dffb8b87","root.record.ItemExhibitList.P5Item","65b1f3391ddbb8c33d75831049cb8f97dffb8b87-0-9fae160c9f06f90a8b472ceeca605cca7b468e40"
"Army Active","1","1","3","31","34","","","","","6.045","6.17","17.216","69.958","87.174","","","","","6619eeebb1230435083da233a807c1800482e8fb-0-286d76a27bca6b83319a4f329daa4a03259a92d6","6619eeebb1230435083da233a807c1800482e8fb","root.record.ItemExhibitList.P5Item","6619eeebb1230435083da233a807c1800482e8fb-0-7613dd67605337d832710c60b0625ccc5baee025"
"Army National Guard","3","3","6","","6","","","","","15.886","13.11","37.16","","37.16","","","","","6619eeebb1230435083da233a807c1800482e8fb-1-c449eb0e1f27299c8233228b1b9a4b3a28a5bc8a","6619eeebb1230435083da233a807c1800482e8fb","root.record.ItemExhibitList.P5Item","6619eeebb1230435083da233a807c1800482e8fb-0-7613dd67605337d832710c60b0625ccc5baee025"
"Army Reserve","1","2","","","","","","","","5.443","8.896","","","","","","","","6619eeebb1230435083da233a807c1800482e8fb-2-2e3cbc693bfad759b4d3333641b9226afae958a4","6619eeebb1230435083da233a807c1800482e8fb","root.record.ItemExhibitList.P5Item","6619eeebb1230435083da233a807c1800482e8fb-0-7613dd67605337d832710c60b0625ccc5baee025"
"Army Active","55","28","","","","","","","","401.617","187.177","","","","","","","","66621bce6db9e94206425e981df9bd13aa3d4400-0-81b994c53826e6ba9803e00ec061d273e154d7d7","66621bce6db9e94206425e981df9bd13aa3d4400","root.record.ItemExhibitList.P5Item","66621bce6db9e94206425e981df9bd13aa3d4400-0-480a19ab0ab6123b3147cccf3ff0abc5720fb649"
"Army Active","","","","","","","","","","1.522","1.544","","","","","","","","672348dd09fb7fa751cf1fd198d839f365d5dde9-0-5054095c363b6a73bf6a179a1a96195c5e8ec21d","672348dd09fb7fa751cf1fd198d839f365d5dde9","root.record.ItemExhibitList.P5Item","672348dd09fb7fa751cf1fd198d839f365d5dde9-0-723296ee9ead3f0652127eb33d14aa813e8191a3"
"Air Force Active","7","3","1","","1","","","","","44.73","22.955","3.615","","3.615","32.11","1.216","1.968","","68c3def9d0aef6eb484db823eef170fc239204f3-0-451cd0b1b237275d9ab04bf137ee272d09139b84","68c3def9d0aef6eb484db823eef170fc239204f3","root.record.ItemExhibitList.P5Item","68c3def9d0aef6eb484db823eef170fc239204f3-0-cfef7274e5cce5e28568bff70f217e9b4ed6bbe7"
"Air National Guard","","","","","","","","","","","","","","","12.844","","","","68c3def9d0aef6eb484db823eef170fc239204f3-1-9c44c357cbb30abd9e10fd269231e594cf94e114","68c3def9d0aef6eb484db823eef170fc239204f3","root.record.ItemExhibitList.P5Item","68c3def9d0aef6eb484db823eef170fc239204f3-0-cfef7274e5cce5e28568bff70f217e9b4ed6bbe7"
"Air Force Active","","","","","","","","","","9.85","0","1.371","","1.371","","","","","68c3def9d0aef6eb484db823eef170fc239204f3-0-0110f2b4628e5ba3ee0c2ad6cc8073d0511473c2","68c3def9d0aef6eb484db823eef170fc239204f3","root.record.ItemExhibitList.P5Item","68c3def9d0aef6eb484db823eef170fc239204f3-1-75e92c142970b29d1014cbd115afae15fbbc07d3"
"Air Force Active","","","","","","","","","","","","25.964","","25.964","","","","","68c3def9d0aef6eb484db823eef170fc239204f3-0-63b78d2f99aebe95584c3aa875bba5ad4a5d611b","68c3def9d0aef6eb484db823eef170fc239204f3","root.record.ItemExhibitList.P5Item","68c3def9d0aef6eb484db823eef170fc239204f3-2-85a669ef9a0ecc5590a9c798835140d390c97506"
"Army Active","18","30","34","","34","","","","","247.4","273.85","406.767","","406.767","","","","","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-0-f62d006bc77392784ae27fccfaabe011e06640e7","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4","root.record.ItemExhibitList.P5Item","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-0-2ca1ea0e1dbaf7d2f5afa776099d1cd5e6deb526"
"Army National Guard","","","2","12","14","","","","","","","62.538","125.184","187.722","","","","","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-1-b6c0f171bf69cd08eab51248cfef2c0e3ce57655","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4","root.record.ItemExhibitList.P5Item","68e77f1c635c6b7e6aa747d759aaa3de7fee8dd4-0-2ca1ea0e1dbaf7d2f5afa776099d1cd5e6deb526"
"Army Active","","20367","13255","","13255","","","","","","38.639","30.014","","30.014","","","","","6b0c0d79200fdae467274d8eef2e3eb29952b1e9-0-620b5642018b4fa3ac8c97f4f648d2ec9b7ada91","6b0c0d79200fdae467274d8eef2e3eb29952b1e9","root.record.ItemExhibitList.P5Item","6b0c0d79200fdae467274d8eef2e3eb29952b1e9-0-c15e7193a691d471d44184b8c467e97c8d5be03c"
"Army Active","","","","","","","","","","","2.556","3.235","","3.235","","","","","6e1609a1b7258e5615ed880c291fb056ee4da39f-0-6f6da9bf4f7ed40d77fbb0156683b2bb84b737e7","6e1609a1b7258e5615ed880c291fb056ee4da39f","root.record.ItemExhibitList.P5Item","6e1609a1b7258e5615ed880c291fb056ee4da39f-0-60742350ea2629e04943d6cd12d3f7db9b830f80"
"Army Active","","","","","","","","","","","","41.219","","41.219","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-fe96bd1302f08023d7de07d927eb85e17a7f5ec1","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-2c53906a6608219a6261d1710154be35332bec84"
"Army Active","","","","","","","","","","8.4","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5c58876c5d02e890e9fdda8584a6c2d9137995d8","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-8bfb24239baad86a9e176731fdca7f41dd4bf6f9"
"Army Active","","","","","","","","","","2.423","1.761","2.103","","2.103","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5e3ead56e5ad1844b441bfff557adcf60bea2ebe","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-996e0c76a1c3884f4bc9113f9e2441d8e5991a95"
"Army Active","","","","","","","","","","1.406","0.978","0.992","","0.992","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-ff21b71e13fc0081c472ddb290ac9459e3f7d9f0","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-3-8641988a096344d750235d21975ad1d1e20e30c6"
"Army Active","","","","","","","","","","53.51","44.877","11.656","9.9","21.556","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-e34b40d1b7a09db598ba5c544bfb2829d9dd2a96","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-4-98b95e2ce6a8f83caa910b18dcf104189211995c"
"Army Active","","","","","","","","","","39.525","24.119","29.797","","29.797","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b72d811396593933f362a373eabfbb1eaf9cf204","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-5-edea88575083547119208fc3090883f705f5f7b7"
"Army Active","","","","","","","","","","29.518","31.373","19.332","","19.332","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-0222a1d9d7cebfd953dffe91399e51374e5e92bd","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-6-6ae14c356dae15045e42df89113994ba95ae4ccc"
"Army Active","","","","","","","","","","","3.319","2.861","","2.861","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-9c4f698c40a4936f9d45149426debfd3ba1ab09c","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item","6f849759560e292ae5d1247b4513cdf075cd2cb5-7-df17fae522198e9bb7ed5335c6a0f9aaf6d51a2b"
"Army Active","7","","","","","","","","","36.088","2.975","2.928","","2.928","","","","","6fab443fa1a01704e72f3c1c71af2853b68af1ee-0-07dc1cf5751b633c9fe028375b0ccb8e64a72991","6fab443fa1a01704e72f3c1c71af2853b68af1ee","root.record.ItemExhibitList.P5Item","6fab443fa1a01704e72f3c1c71af2853b68af1ee-0-6febd3de0466dde8aa04c42ae10d5225b9bdd794"
"Army Active","","","","","","","","","","3.964","","","","","","","","","713e270fbb12616f0d3316315bb839836c7f4c8f-0-831d1458f061c4650a6faa563034854011397288","713e270fbb12616f0d3316315bb839836c7f4c8f","root.record.ItemExhibitList.P5Item","713e270fbb12616f0d3316315bb839836c7f4c8f-0-edde62f42a60816574bb119c2af92e88b85d79c7"
"Army Active","","","378","","378","","","","","","","3.149","","3.149","","","","","717df35729e6598e271d98e70972dfb7ec72853a-0-91d34e5f939ea8cdf229b1a908536383ab6a9e3e","717df35729e6598e271d98e70972dfb7ec72853a","root.record.ItemExhibitList.P5Item","717df35729e6598e271d98e70972dfb7ec72853a-0-22ed83fe1535f234f6eb3bebf2c73e4b7bf1a85a"
"Air Force Active","","","2","","2","","","","","","","24.866","","24.866","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-69d23b428c8835cb86ccf0947e93ba8000357097","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-adb31b88dcd1f0b2b194563e7c40cad6e4deae2f"
"Air National Guard","","","0","","0","","","","","0","0","0","","0","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-33c54e0af4ae396e91dc766c4f358e9230a2cc79","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-adb31b88dcd1f0b2b194563e7c40cad6e4deae2f"
"Air Force Reserve","","","","","","","","","","0","0","0","","0","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-d21cad4fad45e268b4b36ffcd473a395b9c37fa6","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-adb31b88dcd1f0b2b194563e7c40cad6e4deae2f"
"Air Force Active","17","22","30","0","30","","","","","13.598","14.715","16.249","0","16.249","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-4340586ec4ab354af53ee00ca1b8a71afe91b77c","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-109c912f98017b01c9fa77384b7795ebe60c87cf"
"Air National Guard","5","4","0","","0","","","","","1.905","1.552","0","0","0","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-1f83d68a24f4ffd5159c5c9e73b8cd6ddf8db245","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-109c912f98017b01c9fa77384b7795ebe60c87cf"
"Air Force Reserve","4","1","0","","0","","","","","1.542","0.388","0","0","0","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-1153c588e9bc3f486d7ca72f59455ca71b901f4f","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-109c912f98017b01c9fa77384b7795ebe60c87cf"
"Air Force Active","0","1","1","0","1","","","","","3.09","9.578","11.406","2.078","13.484","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-0-8fa49f4ffb1a2aaa49676b15b2caff8cf6dd46b5","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-abf0df9798843d11c84aef573552bed8b2ff0193"
"Air National Guard","","","0","6","6","","","","","0","0","0","40.572","40.572","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-1-08f0cb43c2a94d972d77052aee3652850057d977","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-abf0df9798843d11c84aef573552bed8b2ff0193"
"Air Force Reserve","","0","0","0","0","","","","","0","0","0","0","0","","","","","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-bd60f885866beba1d29bd7199aeaa95ebbee0491","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f","root.record.ItemExhibitList.P5Item","74c6f6e0d5a26dd26cc7fa054d73152d692f3a2f-2-abf0df9798843d11c84aef573552bed8b2ff0193"
"Army Active","","","10","","10","","","","","","","4.907","","4.907","","","","","75450acdef5ec9739d7051a05b2490012af93756-0-2de076099d9987c7a14ff46306656d20ca583ad5","75450acdef5ec9739d7051a05b2490012af93756","root.record.ItemExhibitList.P5Item","75450acdef5ec9739d7051a05b2490012af93756-0-173502b99b1143c444554a8d2c8b1d19bcbac412"
"Army Active","","130","123","","123","","","","","","412.043","444.561","","444.561","","","","","75862ac71ec2a5af3856feee110bb696c448c1b6-0-0de25a97abc753779f4df5e51101411da3c2894b","75862ac71ec2a5af3856feee110bb696c448c1b6","root.record.ItemExhibitList.P5Item","75862ac71ec2a5af3856feee110bb696c448c1b6-0-fe626d1e07eae9ad467a87683065ec31ab934028"
"Army Active","8","63","5","","5","","","","","1.956","3.69","0.211","","0.211","","","","","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-0-74ad3a0c5f7b559a4ea5db9635391e29ab407e88","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e","root.record.ItemExhibitList.P5Item","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-0-30933f9404232cdef073a7631574ee0058ef4478"
"Army National Guard","3","53","79","","79","","","","","0.819","3.102","4.912","","4.912","","","","","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-1-75e1c1e9a30f9be020958600d7d286026f183949","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e","root.record.ItemExhibitList.P5Item","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-0-30933f9404232cdef073a7631574ee0058ef4478"
"Army Reserve","7","26","18","","18","","","","","1.71","1.492","1.115","","1.115","","","","","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-2-c4b80b86a9e685d4741d375d4fe0d7af50fca4d1","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e","root.record.ItemExhibitList.P5Item","76aa8a25b13255fc6fb5fc450a9e4c9fd99e367e-0-30933f9404232cdef073a7631574ee0058ef4478"
"Army Active","","","","","","","","","","4.92","5.014","3.985","","3.985","","","","","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-0-9891c80c710d4fb8290be301f3ad2bdcfbe811b0","78b6e60a9b8ca82c57127f5b7d652129e9cc7600","root.record.ItemExhibitList.P5Item","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-0-71c42fc60e0b2a264ec9a966b798b5c4484a407e"
"Army Active","","","","","","","","","","8.468","3.939","3.61","","3.61","","","","","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-0-d7b420efff5b2819b85fa8ed5077cf4b9b07ea9f","78b6e60a9b8ca82c57127f5b7d652129e9cc7600","root.record.ItemExhibitList.P5Item","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-1-35f7b2a2a864ad884c775ae6004aec2b43081388"
"Army National Guard","","","","","","","","","","5.313","2.472","2.265","","2.265","","","","","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-1-b1a49b99d7323dcfb1d0297261dae859baa09d79","78b6e60a9b8ca82c57127f5b7d652129e9cc7600","root.record.ItemExhibitList.P5Item","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-1-35f7b2a2a864ad884c775ae6004aec2b43081388"
"Army Reserve","","","","","","","","","","2.823","1.313","1.203","","1.203","","","","","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-2-00b5a81419bf38dce78f1cb56511c001c904a0e8","78b6e60a9b8ca82c57127f5b7d652129e9cc7600","root.record.ItemExhibitList.P5Item","78b6e60a9b8ca82c57127f5b7d652129e9cc7600-1-35f7b2a2a864ad884c775ae6004aec2b43081388"
"Army Active","","14","14","","14","","","","","8.099","1.629","2.983","0.096","3.079","","","","","7979bef145df24e2e135ab6da9dd8056da0b418b-0-8a926be145f82b954af6603fe30e870b6c297375","7979bef145df24e2e135ab6da9dd8056da0b418b","root.record.ItemExhibitList.P5Item","7979bef145df24e2e135ab6da9dd8056da0b418b-0-9e693660c2d58d708221e7f164a95b99bcc190e9"
"Army National Guard","","7","6","","6","","","","","","1.729","2.435","","2.435","","","","","7979bef145df24e2e135ab6da9dd8056da0b418b-1-ee79f4f24fc408a9f1ec0e94419112831c6da4e4","7979bef145df24e2e135ab6da9dd8056da0b418b","root.record.ItemExhibitList.P5Item","7979bef145df24e2e135ab6da9dd8056da0b418b-0-9e693660c2d58d708221e7f164a95b99bcc190e9"
"Army Reserve","","7","3","","3","","","","","","1.729","1.231","","1.231","","","","","7979bef145df24e2e135ab6da9dd8056da0b418b-2-81883074075a7eee73f21d2a09df6ad5b626b261","7979bef145df24e2e135ab6da9dd8056da0b418b","root.record.ItemExhibitList.P5Item","7979bef145df24e2e135ab6da9dd8056da0b418b-0-9e693660c2d58d708221e7f164a95b99bcc190e9"
"Army National Guard","","129","","","","","","","","","40","","","","","","","","7a18a9139ae9944a2717c51a6406e8074ade8e6a-0-764032cf62dcc5eaeb559534bd9bf4bf2a901c73","7a18a9139ae9944a2717c51a6406e8074ade8e6a","root.record.ItemExhibitList.P5Item","7a18a9139ae9944a2717c51a6406e8074ade8e6a-0-622b9890f055d9154d452df5470c88a93e280600"
"Army Reserve","","65","","","","","","","","","20","","","","","","","","7a18a9139ae9944a2717c51a6406e8074ade8e6a-1-39b8e4a410ba8f9248547e568dd653a2bc6c6b17","7a18a9139ae9944a2717c51a6406e8074ade8e6a","root.record.ItemExhibitList.P5Item","7a18a9139ae9944a2717c51a6406e8074ade8e6a-0-622b9890f055d9154d452df5470c88a93e280600"
"Air Force Active","","","","","","","","","","102.429","74.621","40.043","","40.043","","","","","7c845fb4da687e763f3759aa15a8c19678a30693-0-1d1ef993c8a862fbed7ceb75ac18c694c58ada1e","7c845fb4da687e763f3759aa15a8c19678a30693","root.record.ItemExhibitList.P5Item","7c845fb4da687e763f3759aa15a8c19678a30693-0-dd5128ef0731218863f1871abdec57109e4b495d"
"Air National Guard","","","","","","","","","","4.507","","","","","","","","","7c845fb4da687e763f3759aa15a8c19678a30693-1-b97a00aed1c7dc4bbd624675704c0922d62fc992","7c845fb4da687e763f3759aa15a8c19678a30693","root.record.ItemExhibitList.P5Item","7c845fb4da687e763f3759aa15a8c19678a30693-0-dd5128ef0731218863f1871abdec57109e4b495d"
"Army Active","145","63","18","","18","","","","","6.346","6.96","1.949","","1.949","","","","","814059d48caeb207469633185de51feb6132c5dd-0-2c8120e6c30998852316c96bfd6492f5bb679661","814059d48caeb207469633185de51feb6132c5dd","root.record.ItemExhibitList.P5Item","814059d48caeb207469633185de51feb6132c5dd-0-222523b189606de2e460add51309554cfe0fdf23"
"Army Active","1","","3","","3","","","","","10.787","0.879","57.529","","57.529","","","","","825117152c7339ef5da645394bd76e22c797a811-0-d6e403455d50686668d6e6291d10e60e7cb22253","825117152c7339ef5da645394bd76e22c797a811","root.record.ItemExhibitList.P5Item","825117152c7339ef5da645394bd76e22c797a811-0-b7c2b572e66193481fb5f08791e7c8c55d42360b"
"Army Active","125","228","320","29","349","","","","","0.626","1.419","1.397","0.145","1.542","","","","","83bce895ee139e970b88a64dc4a9e5404d420698-0-95a98e3e43300cd7ea64be1701c8d643b6eef5a8","83bce895ee139e970b88a64dc4a9e5404d420698","root.record.ItemExhibitList.P5Item","83bce895ee139e970b88a64dc4a9e5404d420698-0-2dd80bb57945c1815923ad985f1b07b543af46ad"
"Army National Guard","263","166","209","","209","","","","","1.384","1.328","1.288","","1.288","","","","","83bce895ee139e970b88a64dc4a9e5404d420698-1-0e2c87f9df3c60744ad17d479573cfaa8baeabd6","83bce895ee139e970b88a64dc4a9e5404d420698","root.record.ItemExhibitList.P5Item","83bce895ee139e970b88a64dc4a9e5404d420698-0-2dd80bb57945c1815923ad985f1b07b543af46ad"
"Army Reserve","153","2","6","","6","","","","","0.779","0.013","0.031","","0.031","","","","","83bce895ee139e970b88a64dc4a9e5404d420698-2-de8b639c5984a0ca529d124c3bd7421034a3c91c","83bce895ee139e970b88a64dc4a9e5404d420698","root.record.ItemExhibitList.P5Item","83bce895ee139e970b88a64dc4a9e5404d420698-0-2dd80bb57945c1815923ad985f1b07b543af46ad"
"Army Active","265","250","146","251","397","","","","","5.038","4.732","2.664","1.14","3.804","","","","","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-7db89b2a1493b7d7f109508c0ba0797f4d90fbcf","83d015706c30c0fd0fb46f441460f7bb6012acc9","root.record.ItemExhibitList.P5Item","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-1e60606c19faf084a7aaccb8c53b2d5d7f1068a8"
"Army National Guard","230","219","128","","128","","","","","4.373","4.134","2.394","","2.394","","","","","83d015706c30c0fd0fb46f441460f7bb6012acc9-1-0355042d7ee8fe855801648ca2a5f0cd966a4e0d","83d015706c30c0fd0fb46f441460f7bb6012acc9","root.record.ItemExhibitList.P5Item","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-1e60606c19faf084a7aaccb8c53b2d5d7f1068a8"
"Army Reserve","121","117","68","","68","","","","","2.3","2.217","1.284","","1.284","","","","","83d015706c30c0fd0fb46f441460f7bb6012acc9-2-8e5615c1aac04ff23517179e2670b3df48c09788","83d015706c30c0fd0fb46f441460f7bb6012acc9","root.record.ItemExhibitList.P5Item","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-1e60606c19faf084a7aaccb8c53b2d5d7f1068a8"
"Army Active","11612","8987","2110","","2110","","","","","22.654","25.597","3.607","","3.607","","","","","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0-0-ed552853815f05f43e7f70ca901405f9bf6f9f28","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0","root.record.ItemExhibitList.P5Item","847f7453d60a7a4e0a6b60a5f2ba33b55f2390b0-0-acff55a389bbb1f55e90fe9749bf4ac2964d93fd"
"Army Active","9","18","16","","16","","","","","4.527","8.996","6.272","","6.272","","","","","85f6a0335ba2f0996a0dacce0ef348991020571a-0-d35a1e1d600b7fa5508981c567740fe68d30ce21","85f6a0335ba2f0996a0dacce0ef348991020571a","root.record.ItemExhibitList.P5Item","85f6a0335ba2f0996a0dacce0ef348991020571a-0-313920fb78bce80f531a4b15a259c8d3100aef0c"
