"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","ModsOutYearDelta_Quantity_BudgetYearTwo_val","ModsOutYearDelta_Quantity_BudgetYearThree_val","ModsOutYearDelta_Quantity_BudgetYearFour_val","ModsOutYearDelta_Quantity_BudgetYearFive_val","ModsOutYearDelta_Cost_BudgetYearTwo_val","ModsOutYearDelta_Cost_BudgetYearThree_val","ModsOutYearDelta_Cost_BudgetYearFour_val","ModsOutYearDelta_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army Active","96","164","261","","261","180","195","321","184","10.7","40.11","45.391","","45.391","41.172","40.312","45.391","36.969","","","","","","","","","0be141ddc121c32f513089cf90f372805ac633d3-0-f9c5fcf4fe21ca7cc5d9f7c0931d3b205201ccf8","0be141ddc121c32f513089cf90f372805ac633d3","root","0be141ddc121c32f513089cf90f372805ac633d3-5efaa28cd72d28143d1191d0ec7c62095458184e"
"Army National Guard","12","59","48","","48","34","20","90","25","2.706","5.1","2.88","","2.88","4.488","4.519","5.931","2.534","","","","","","","","","0be141ddc121c32f513089cf90f372805ac633d3-1-dbb3e652e62b71f8c8d3f2c879075c9cd890f3a1","0be141ddc121c32f513089cf90f372805ac633d3","root","0be141ddc121c32f513089cf90f372805ac633d3-5efaa28cd72d28143d1191d0ec7c62095458184e"
"Army Reserve","","","","","","2","4","","","","","","","","0.058","2.304","","","","","","","","","","","0be141ddc121c32f513089cf90f372805ac633d3-2-76b9602b77e6ec9d37e584dc7d44d87b332a0318","0be141ddc121c32f513089cf90f372805ac633d3","root","0be141ddc121c32f513089cf90f372805ac633d3-5efaa28cd72d28143d1191d0ec7c62095458184e"
"Air Force Active","","","","","","","","","","105.728","85.173","9.168","0","9.168","15.642","20.792","53.574","53.563","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-206a31158f2914384bdbfcc6e707e8524d066444","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"Air National Guard","","","","","","","","","","53.286","50.96","0","","0","41.535","26.959","66.029","98.656","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-85e2c88ebcaf4b98b1c72eb1c5ab37d66acd01ae","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"Air Force Reserve","","","","","","","","","","0.295","0.525","0","","0","18.896","9.58","17.176","44.441","","","","","","","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-8bab29b1d55e618d02648ca4857abe3f1ca0b1ad","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"Army Active","","","","","","","","138","612","","18.221","0.395","","0.395","0.531","0.269","25.53","66.482","","","","","","","","","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-7e26348ec244e1529cf577f83cbd075d227a2b1c","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3","root","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-f06a7b3ba316cfa6a3c241fc628376253b5d3480"
"Army Active","","","","","","","","","","65.252","62.319","58.614","","58.614","66.363","67.147","68.445","69.328","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-e6f3a9650bdf162c53dbba16ab7424825474ead0","0eeb201d434d2955fb31a40759d2911ddc6973e2","root","0eeb201d434d2955fb31a40759d2911ddc6973e2-8d7ab0672c57d7411dd24363150b9071213262e6"
"Air Force Active","","","","","","","","","","8.767","39.464","35.235","","35.235","19.597","3.903","1.932","1.968","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-ba33e5b96c9ba1ae7441aeb6ae279a252cdcbb46","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3aa0a75b059fbfbfd7110480e550416fb049b09c"
"Air National Guard","","","","","","","","","","","","0","","0","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-1-96342d4e07e6a1e22e7b6bea87c95b8e10fd443b","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3aa0a75b059fbfbfd7110480e550416fb049b09c"
"Air Force Reserve","","","","","","","","","","","","0","","0","","","","","","","","","","","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-2-d2e98798f786672a0d206941a3f45ea7e7027665","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3aa0a75b059fbfbfd7110480e550416fb049b09c"
"Army Active","190","289","160","","160","201","172","163","289","13.092","10.715","6.362","7.233","13.595","6.708","6.842","6.963","7.737","","","","","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-f8a2219deefa029ed6c8907eb486cd0ff1cdcf8c","11760a31d4fd15ef84829c35a72f599b1f685f4e","root","11760a31d4fd15ef84829c35a72f599b1f685f4e-dcaa221a5b189a4bae199714f4c825429a9bc629"
"Army National Guard","135","53","150","","150","142","122","83","53","0.554","0.249","0.707","","0.707","0.669","0.569","0.391","0.249","","","","","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-1-39d89b565a05128a0e9357aa3f2af8f8cbace977","11760a31d4fd15ef84829c35a72f599b1f685f4e","root","11760a31d4fd15ef84829c35a72f599b1f685f4e-dcaa221a5b189a4bae199714f4c825429a9bc629"
"Army Reserve","160","95","127","","127","95","145","192","95","0.656","0.438","0.589","","0.589","0.438","0.681","0.896","0.438","","","","","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-2-20522f0e62dcfaa8a996193805f0a36ed8140ad5","11760a31d4fd15ef84829c35a72f599b1f685f4e","root","11760a31d4fd15ef84829c35a72f599b1f685f4e-dcaa221a5b189a4bae199714f4c825429a9bc629"
"Army Active","","","","","","","","","","17.631","17.894","","","","","","","","","","","","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-bad907d90153e0376982764c83b94a598b3f0168","12c4d9b7a502864db4355d490524eca3f7dbbd27","root","12c4d9b7a502864db4355d490524eca3f7dbbd27-c7c2b63b60a57dc9a3fbdc0cad6f5e32780fecb0"
"Army National Guard","","","","","","","","","","","","14.297","","14.297","15.71","16.944","16.934","16.927","","","","","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-1-730b8527e5f095e12d2a0e317f6ecf67ac1172b3","12c4d9b7a502864db4355d490524eca3f7dbbd27","root","12c4d9b7a502864db4355d490524eca3f7dbbd27-c7c2b63b60a57dc9a3fbdc0cad6f5e32780fecb0"
"Army Reserve","","","","","","","","","","","","9.531","","9.531","10.473","11.296","11.29","11.284","","","","","","","","","12c4d9b7a502864db4355d490524eca3f7dbbd27-2-f9e5529ce7af4ae9738462f37d645c06e1767bac","12c4d9b7a502864db4355d490524eca3f7dbbd27","root","12c4d9b7a502864db4355d490524eca3f7dbbd27-c7c2b63b60a57dc9a3fbdc0cad6f5e32780fecb0"
"Army Active","","","","","","","","","","237.023","430.939","480.166","","480.166","529.924","500.838","501.025","543.353","","","","","","","","","16eb548697edd27074e7aaad2ca861f1c2ab6247-0-cdeef2d347cdd25b1acaf184af36a711756d803e","16eb548697edd27074e7aaad2ca861f1c2ab6247","root","16eb548697edd27074e7aaad2ca861f1c2ab6247-b5e8ecd0487feb4ffd27efb97d8d4f4004090aca"
"Army Active","182","","","","","","","","","0.682","","","","","","","","","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-0-94851c5ac55dc62cd3f12ae1aa7139484d4f787d","173985485f7c6c76710355ff44e0680c1ea97cf0","root","173985485f7c6c76710355ff44e0680c1ea97cf0-6108c850617caa9031213bf4627a94e10953ec98"
"Army National Guard","573","","","","","","","","","2.146","","","","","","","","","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-1-032bfe8339c334bd23f4b02392f4cc28f6501986","173985485f7c6c76710355ff44e0680c1ea97cf0","root","173985485f7c6c76710355ff44e0680c1ea97cf0-6108c850617caa9031213bf4627a94e10953ec98"
"Army Reserve","406","","","","","","","","","1.52","","","","","","","","","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-2-62136b92ef23d95dd958d4cd5259cd789165e165","173985485f7c6c76710355ff44e0680c1ea97cf0","root","173985485f7c6c76710355ff44e0680c1ea97cf0-6108c850617caa9031213bf4627a94e10953ec98"
"Army Active","","","4","","4","","14","35","110","","","3.927","","3.927","2.967","3.911","8.5","20.148","","","","","","","","","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-fd23e081f635fbd0d77365fd9e15125be1fcfb97","1778b846fe2398bcb89813ebc1b09ab7bbe2302b","root","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-fa831c3e7b779136b761b071d1ece7ab5ee6f077"
"Army National Guard","","","","","","","10","58","57","","","","","","","5.4","14.085","26.738","","","","","","","","","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-1-17242f3d9e1748445a70597bb419610341fe3eb0","1778b846fe2398bcb89813ebc1b09ab7bbe2302b","root","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-fa831c3e7b779136b761b071d1ece7ab5ee6f077"
"Army Reserve","","","","","","","1","30","29","","","","","","","0.6","7.285","13.58","","","","","","","","","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-2-7f71675635a6b900806f727b5de1e43aef0ea3d4","1778b846fe2398bcb89813ebc1b09ab7bbe2302b","root","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-fa831c3e7b779136b761b071d1ece7ab5ee6f077"
"Army Active","","","","","","","","","","0.969","1.403","","","","","","","","","","","","","","","","1818754580ed19d402b532fe8b3558222e40146c-0-086f2b361da060c6bd594bbb96c1306170dc2b94","1818754580ed19d402b532fe8b3558222e40146c","root","1818754580ed19d402b532fe8b3558222e40146c-84b582509e2c8df170802072a61e4974f16b9a7c"
"Army National Guard","","","","","","","","","","","","1.985","","1.985","","","","","","","","","","","","","1818754580ed19d402b532fe8b3558222e40146c-1-6b35cda93e90d43ef755e075358c7eca2bf9a48d","1818754580ed19d402b532fe8b3558222e40146c","root","1818754580ed19d402b532fe8b3558222e40146c-84b582509e2c8df170802072a61e4974f16b9a7c"
"Army Reserve","","","","","","","","","","","","","","","0.996","","","","","","","","","","","","1818754580ed19d402b532fe8b3558222e40146c-2-af91d35f2312fa5cf2c5c75acf3068716010ae35","1818754580ed19d402b532fe8b3558222e40146c","root","1818754580ed19d402b532fe8b3558222e40146c-84b582509e2c8df170802072a61e4974f16b9a7c"
"Army Active","","","","","","","","","","11.018","6.042","7.109","","7.109","2.553","2.651","1.91","7.134","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-0-6a35109e17b1ecce965c045729b53612db5f40c8","18f4e4c047fe0159362d16465046570fea849f9a","root","18f4e4c047fe0159362d16465046570fea849f9a-514ca8a36d8d8e0fe6964ac6aa85f5ea4dfb64ad"
"Army National Guard","","","","","","","","","","7.148","4.028","4.804","","4.804","1","1.322","1.291","6.156","","","","","","","","","18f4e4c047fe0159362d16465046570fea849f9a-1-7875c2a82c423a719947d6c1cf1294f041bbd4f2","18f4e4c047fe0159362d16465046570fea849f9a","root","18f4e4c047fe0159362d16465046570fea849f9a-514ca8a36d8d8e0fe6964ac6aa85f5ea4dfb64ad"
"Army Active","","","","","","","","","","1.208","7.629","1.985","24","25.985","","","","","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-760d79007a1c636b44489c87543fa50b1e563128","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-e86b08c39ed7f41aea2f41a2f906cfcb148b0419"
"Army National Guard","","","","","","","","","","3.867","","","","","","","","","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-1-ba4bc7ea8de0c10a7b7b4abd7a570aaa694a9583","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-e86b08c39ed7f41aea2f41a2f906cfcb148b0419"
"Army Reserve","","","","","","","","","","1.419","","","","","","","","","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-2-f12711359ccd12fe2e6f14e86d84c7ea6545dd36","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-e86b08c39ed7f41aea2f41a2f906cfcb148b0419"
"Army Active","","2","2","3","5","2","2","","","","2.662","2.216","4.8","7.016","2.709","4.038","","","","","","","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-0-02801aace5587d0a307ec40a20ff9fa9e238b3d5","195700bac65ab670b2bc5529a15bb5561b4fe78c","root","195700bac65ab670b2bc5529a15bb5561b4fe78c-5cb129089721752468ec938a2bf0ea4b98544b3f"
"Army National Guard","","1","1","","1","2","2","","","","1.353","2.271","","2.271","4.194","2.632","","","","","","","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-1-b6b7d11d6db9ae77f97af406ca475ea5793c4c6c","195700bac65ab670b2bc5529a15bb5561b4fe78c","root","195700bac65ab670b2bc5529a15bb5561b4fe78c-5cb129089721752468ec938a2bf0ea4b98544b3f"
"Army Reserve","","1","","","","","","","","1.435","1.353","","","","","","","","","","","","","","","","195700bac65ab670b2bc5529a15bb5561b4fe78c-2-c8737f7cecca729318133775a4ec29832ea67f0d","195700bac65ab670b2bc5529a15bb5561b4fe78c","root","195700bac65ab670b2bc5529a15bb5561b4fe78c-5cb129089721752468ec938a2bf0ea4b98544b3f"
"Army Active","124","88","4","51","55","231","","","","55.5","7.163","4.646","6.122","10.768","35.502","","","","","","","","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-0-6e5482e13427613446937bfcf423286b4fd547cb","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root","19ae42ffdadf98fda4f6c7db5826edb465febfdf-f75a19bca07388880e41104b7514d8687cd620cf"
"Army National Guard","129","252","426","","426","25","37","","","22.925","20.386","34.918","","34.918","3.836","3.966","","","","","","","","","","","19ae42ffdadf98fda4f6c7db5826edb465febfdf-1-00df8b120a182f0519d58503845572de7fd6eb59","19ae42ffdadf98fda4f6c7db5826edb465febfdf","root","19ae42ffdadf98fda4f6c7db5826edb465febfdf-f75a19bca07388880e41104b7514d8687cd620cf"
"Navy Reserve","","","","","","","","","","4.035","8.916","9.822","","9.822","11.669","10.125","10.284","10.492","","","","","","","","","1ce1b5f43226c20a587333371e1785c24dd29276-0-d45827f86b6a3334c86e3a3b88dd8765c5244673","1ce1b5f43226c20a587333371e1785c24dd29276","root","1ce1b5f43226c20a587333371e1785c24dd29276-78ba98ba64adc88e19793b40d31af119753d8c70"
"Air Force Active","","","","","","","","","","44.27","27.078","37.383","","37.383","37.032","33.97","28.703","31.758","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-0-03ba17cdab737f0ae8081a1dff0faa8591d6a3a4","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root","1d689f0f36258fe897c6ef0040b400c62cdda1ee-851fe8bff0e0581a810e08bdae8e87dfc60e09c8"
"Air National Guard","","","","","","","","","","13.69","14.97","18.324","","18.324","21.909","21.85","25.327","22.206","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-1-07b0d03952bd702c0b6a0c485cd1fbbc996c5ebe","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root","1d689f0f36258fe897c6ef0040b400c62cdda1ee-851fe8bff0e0581a810e08bdae8e87dfc60e09c8"
"Air Force Reserve","","","","","","","","","","5.608","6.82","8.454","","8.454","10.376","9.39","8.754","8.743","","","","","","","","","1d689f0f36258fe897c6ef0040b400c62cdda1ee-2-70f2b54e0092fde587d038fecc7a5aa62ec6e715","1d689f0f36258fe897c6ef0040b400c62cdda1ee","root","1d689f0f36258fe897c6ef0040b400c62cdda1ee-851fe8bff0e0581a810e08bdae8e87dfc60e09c8"
"Air Force Active","154","149","212","15","227","272","236","229","233","6.168","8.53","14.093","2.003","16.096","14.3","14.476","14.356","14.025","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-0-89c9b543ebba43c711a08b33dd446a76c829de1e","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-9b8409dd9bce68ac0875c44a37d6fe293301e0d7"
"Air National Guard","3","2","10","0","10","6","6","5","2","0.268","0.248","0.221","0","0.221","0.227","0.235","0.23","0.24","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-1-f08ce255824786357fef3ccda9a00e71f48e27a1","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-9b8409dd9bce68ac0875c44a37d6fe293301e0d7"
"Air Force Reserve","4","2","4","0","4","1","1","1","1","0.091","0.056","0.123","0","0.123","0.118","0.12","0.13","0.133","","","","","","","","","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-2-41ee5624b4144fdf476a08c707702212d5e25d60","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8","root","201c7897c5d7f6f8b0b70fe7371072437d3b5cf8-9b8409dd9bce68ac0875c44a37d6fe293301e0d7"
"Army Active","","","11","38","49","","","30","59","","0.053","3.716","4.18","7.896","10.513","7.313","15.818","6.643","","","","","","","","","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-0-54ad50442cb1f53c5ecd24b2a84345fb13a69fbe","21890a75ad7ddf3d0ff8e07fa3694eac5357446f","root","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-248f3342343311754054a73986ea1ab8f40f640e"
"Army National Guard","","","","","","","","","119","0.16","","","","","","","6.076","15.578","","","","","","","","","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-1-9bbccf3268305febeadc180ef761e67d10356e41","21890a75ad7ddf3d0ff8e07fa3694eac5357446f","root","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-248f3342343311754054a73986ea1ab8f40f640e"
"Army Reserve","","","","","","","","","15","","","","","","","","","2.56","","","","","","","","","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-2-a927b42df322ed11abbbed8162d8efb7efad2067","21890a75ad7ddf3d0ff8e07fa3694eac5357446f","root","21890a75ad7ddf3d0ff8e07fa3694eac5357446f-248f3342343311754054a73986ea1ab8f40f640e"
"Army Active","","","","","","","","","","36.93","33.552","34.361","","34.361","19.141","28.193","26.679","5.141","","","","","","","","","22c42c58955bfa55effc47940f7601be9d54871f-0-2ef150dd058d513ef22c7bb3c68e943d28cba6ad","22c42c58955bfa55effc47940f7601be9d54871f","root","22c42c58955bfa55effc47940f7601be9d54871f-492089b6679ad289ccd0676a6f3ac6414bb1e857"
"Army National Guard","","","","","","","","","","","0.226","0.126","","0.126","0.076","0.076","","","","","","","","","","","22c42c58955bfa55effc47940f7601be9d54871f-1-70d15d1c283b2ab8878583e9fc3af65fef1a2ad5","22c42c58955bfa55effc47940f7601be9d54871f","root","22c42c58955bfa55effc47940f7601be9d54871f-492089b6679ad289ccd0676a6f3ac6414bb1e857"
"Air Force Active","","","","","","","","","","122.002","","0","","0","0","0","0","0","","","","","","","","","230542bd9da9a930c944f91de0a720a98bcfc5e4-0-f219d1f8ae271849f74631d1a4eb2cd76d0f9958","230542bd9da9a930c944f91de0a720a98bcfc5e4","root","230542bd9da9a930c944f91de0a720a98bcfc5e4-7e704c0515168d17a4d8041f336a59b37759e42e"
"Air Force Reserve","","","","","","","","","","195.464","","","","","","","","","","","","","","","","","230542bd9da9a930c944f91de0a720a98bcfc5e4-1-28325c1c5f112660176a06ca5743a66c9d0defb0","230542bd9da9a930c944f91de0a720a98bcfc5e4","root","230542bd9da9a930c944f91de0a720a98bcfc5e4-7e704c0515168d17a4d8041f336a59b37759e42e"
"Army Active","","","","","","","","","","3.54","5.008","5.068","","5.068","5.051","4.926","5.138","5.239","","","","","","","","","23d41eaae50d250b4e794bdfa0b97e545a71b74a-0-6667b0d2785d7825f5f1c23edfbd1bd8d7f3729c","23d41eaae50d250b4e794bdfa0b97e545a71b74a","root","23d41eaae50d250b4e794bdfa0b97e545a71b74a-8d5f6dc5776e1d434edeae42b69d230214c1462a"
"Army Active","","","","","","","","","","1.028","","","","","","","","","","","","","","","","","23f72bccc107e41caf09a782d0cc15fe810cf175-0-76850f25543223fa46e0e167f42a2b19a643ac74","23f72bccc107e41caf09a782d0cc15fe810cf175","root","23f72bccc107e41caf09a782d0cc15fe810cf175-1d32d36a04896610b6eb2d002a4d2ebbed362b24"
"Army Active","","","","","","","","","","54.277","18.64","19.881","","19.881","33.086","16.395","16.573","14.426","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-0-70899e8157714d5d800aea10cd55b0c5be4433a7","241074839f06b5ebbca5efcfd409fa4167dec7b9","root","241074839f06b5ebbca5efcfd409fa4167dec7b9-4c8716400c8efbec0947c48c82d95c92f3a63da5"
"Army National Guard","","","","","","","","","","","13.556","22.596","","22.596","24.499","11.923","12.052","3.995","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-1-1555436a36d4d8fbdc1a0eaa7ebfd380c6de3323","241074839f06b5ebbca5efcfd409fa4167dec7b9","root","241074839f06b5ebbca5efcfd409fa4167dec7b9-4c8716400c8efbec0947c48c82d95c92f3a63da5"
"Army Reserve","","","","","","","","","","","1.694","2.825","","2.825","3.062","1.49","1.506","0.499","","","","","","","","","241074839f06b5ebbca5efcfd409fa4167dec7b9-2-762e1f681a0e7218dedd889f087adca3d518860e","241074839f06b5ebbca5efcfd409fa4167dec7b9","root","241074839f06b5ebbca5efcfd409fa4167dec7b9-4c8716400c8efbec0947c48c82d95c92f3a63da5"
"Navy Active","","","","","","","","","","0.543","0.127","","","","","","","","","","","","","","","","246dd9081e2a4a37ce22da67f4d5c6c363f99e73-0-ab21c5a418778816bf4c981b359b7eccc5897bde","246dd9081e2a4a37ce22da67f4d5c6c363f99e73","root","246dd9081e2a4a37ce22da67f4d5c6c363f99e73-de7ce136ba4e9f5580cb9aa4e6a5d13f042b18f4"
"Navy Reserve","","","","","","","","","","2.77","0.009","0.078","","0.078","1.827","2.889","2.965","3.023","","","","","","","","","246dd9081e2a4a37ce22da67f4d5c6c363f99e73-1-b641ea2ca763deb637851efc54c9aea009be7bd9","246dd9081e2a4a37ce22da67f4d5c6c363f99e73","root","246dd9081e2a4a37ce22da67f4d5c6c363f99e73-de7ce136ba4e9f5580cb9aa4e6a5d13f042b18f4"
"Navy Active","2","3","3","","3","3","2","4","8","88.338","126.866","123.758","","123.758","124.623","100.183","147.732","283.664","","","","","","","","","24febab206f12e49a266ce58bec118a0b5f41773-0-e3cd5f680720decad57edabbaf03870ca3586f5f","24febab206f12e49a266ce58bec118a0b5f41773","root","24febab206f12e49a266ce58bec118a0b5f41773-1195c7937653144889fe538fd31368b067da9e3b"
"Navy Reserve","","","","","","","4","4","","","","","","","","119.953","122.345","","","","","","","","","","24febab206f12e49a266ce58bec118a0b5f41773-1-9a7394fb266880fbaf2cc3e973b5d506a7d2cafc","24febab206f12e49a266ce58bec118a0b5f41773","root","24febab206f12e49a266ce58bec118a0b5f41773-1195c7937653144889fe538fd31368b067da9e3b"
"Army Active","","","16","","16","33","36","9","","","","10.5","","10.5","16.968","17.123","3.988","","","","","","","","","","25fb4c27bef715e57073b03ea081da778e2833f7-0-051b15b073e5e853140aba0f504be486687ad8df","25fb4c27bef715e57073b03ea081da778e2833f7","root","25fb4c27bef715e57073b03ea081da778e2833f7-d5582f4ae6e28ba278a591b32191e2964fe4312c"
"Army National Guard","","","","","","","20","18","","","","","","","","9.644","8.496","","","","","","","","","","25fb4c27bef715e57073b03ea081da778e2833f7-1-382adacf3f08b21b0d99bf8fc45db2d4e630a9a1","25fb4c27bef715e57073b03ea081da778e2833f7","root","25fb4c27bef715e57073b03ea081da778e2833f7-d5582f4ae6e28ba278a591b32191e2964fe4312c"
"Army Reserve","","","","","","","","36","","","","","","","","","16.992","","","","","","","","","","25fb4c27bef715e57073b03ea081da778e2833f7-2-50d549aa5dd49e865eac4f9684d342aa8d24eed4","25fb4c27bef715e57073b03ea081da778e2833f7","root","25fb4c27bef715e57073b03ea081da778e2833f7-d5582f4ae6e28ba278a591b32191e2964fe4312c"
"Army Active","","","","","","","","","","1.635","14.027","","","","2.988","","","","","","","","","","","","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11-0-237c9e8215b3cee3d3fc83f218a9c909bcda5d1a","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11","root","2607cfa0e7fe0368bb66bdb36b630d4ffe47af11-279b633cec4e0124e15dc5a74979614b6a95fbdd"
"Navy Active","","","","","","","","","","20.605","13.977","14.757","","14.757","15.073","15.399","15.509","15.811","","","","","","","","","2638fac2058836624e00dc9ec8e2d367c60df41c-0-fe260f9057c703583c4f0abb8d7c495c9bc3a6fc","2638fac2058836624e00dc9ec8e2d367c60df41c","root","2638fac2058836624e00dc9ec8e2d367c60df41c-b3daece6eb5db3d71edbfadda5d33304af12e15d"
"Navy Reserve","","","","","","","","","","3.196","0.191","0.493","","0.493","2.492","2.544","2.597","2.648","","","","","","","","","2638fac2058836624e00dc9ec8e2d367c60df41c-1-adff44ec497c2168e7fd32dda65dc35252f14400","2638fac2058836624e00dc9ec8e2d367c60df41c","root","2638fac2058836624e00dc9ec8e2d367c60df41c-b3daece6eb5db3d71edbfadda5d33304af12e15d"
"Navy Active","","","","","","","","","","5.526","7.801","8.181","0.572","8.753","11.941","16.774","16.82","17.072","","","","","","","","","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2-0-8d1a73d29f7b6a90815dde28e319d05accabce30","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2","root","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2-1db0ec8ae18fba2420126a2ec9e574069b89d295"
"Navy Reserve","","","","","","","","","","0.722","0.123","","","","","","","","","","","","","","","","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2-1-94b871c71443ac1689739bc31eb0f2ceafefed2c","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2","root","2695cfc9db14fb5d1dc63cb5f12d04a805434fe2-1db0ec8ae18fba2420126a2ec9e574069b89d295"
"Army Active","","3","6","","6","9","","","3","","0.638","0.81","","0.81","1.151","","","0.875","","","","","","","","","27d04778c2c16e7b412c353909cd486244309464-0-a72bf86455029a84c6ccaf27c6877cdeaa0595ad","27d04778c2c16e7b412c353909cd486244309464","root","27d04778c2c16e7b412c353909cd486244309464-e770c37e5edaa3dc69b0aec1135427de424bd0c4"
