"Name_val","Name_@footnote","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Training Equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","5.1","0","5.1","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-12-a2d5d7302207b77d65d168cb16c68001a74d1c52","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-0b886978f6a2b54436aeaa42422693a7e45a29ac"
"Pre-Mod Depot Maint","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","2.7","0","2.7","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-13-5d075bbb6aa28a00b2441d57a3769bf1154831d4","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-0b886978f6a2b54436aeaa42422693a7e45a29ac"
"Software Upgrades","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","11.1","0","0.9","0","7.3","0","2.9","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-14-316c0a51abd8addec533c266123b572404f50098","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-0b886978f6a2b54436aeaa42422693a7e45a29ac"
"PM Admin","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.8","0","0.7","0","0","0","0","0","20.85","0","16.4","0","1.7","0","0.7","0","0.15","","","0","0.15","0","0.4","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-15-e2c0f4ec6bcac0df722bf44764123594565e3db9","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-0b886978f6a2b54436aeaa42422693a7e45a29ac"
"Fielding Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","25.1","0","24.5","0","0.3","0","0","0","0.3","","","0","0.3","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-16-df87c418870a329555276f3cdf4d2b283505cffd","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-0b886978f6a2b54436aeaa42422693a7e45a29ac"
"Kit Quantity(OCG)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-2d2a8cce73d1cce8702896fdc2be61bbcb1c8952","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Installation Kits","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","12.6","0","12.6","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-5231b36418789cb4f212282b74a776553d75d18e","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Data","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","3.5","0","3.5","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-2-55a258c637ba3f27e31f3f6bb3c32b014a9c7ba6","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Equip,Non-Recurring(ATG)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","33.8","0","33.8","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-3-134365a28c470e19bcba3728a26e31d598832255","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Equip,Non-Recurring(OC)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","4.2","0","4.2","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-4-c13f5ab701c3599bd56e48b47cf1f6d423bd8e53","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Ancillary","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","5.5","0","5.5","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-5-225d58ddcb62577a7b93d021dfbe8ca832d0b2fe","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Initial Spares (ERPSL)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","5","33","4","30.1","1","2.9","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-6-19d67db5febc00683831da8b8606853650d0adcb","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Software Upgrades","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","10.3","0","0","0","7.3","0","3","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-7-86fd6a353200a65bf0a6cf6e6762f8adfeedebd6","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Receiver-Exciter Upgrade","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","60","41.2","60","41.2","0","0","0","0","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-8-2b0fbdda917395c1400e640a9cdf2e61ec1e69fc","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Centerline","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0","0","2.5","0","0","","","0","0","0","0","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-9-4a30412f33c9abc8d91475dc35b6cbd5a2258512","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Engineering/Test Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.075","0","0.825","0","0","0","0","0","19.846","0","15.3","0","0.6","0","0.621","0","0.2","","","0","0.2","0","1.225","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-10-85f94769c272aa50972c2cf6319644d32b4c3039","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"PM Admin","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1.117","0","0.905","0","4.2","0","0","0","12.276","0","3.4","0","0.6","0","0.5","0","0.1","","","0","0.1","0","1.454","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-11-cc328fccad0311c99eb5a7178ee76e4d2300754a","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"Fielding Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","4.316","0","2.543","0","0.405","0","0.433","0","0.285","","","0","0.285","0","0.65","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-12-6cf616747783e414f2f12b3b4946973125672ac8","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-680a51541a53688c5e801cd1f37009d10b9de8c3"
"M24 SWS to XM2010 ESR","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2270","20.3","2270","20.3","0","0","0","0","0","0","","","0","0","0","0","","ed692b817755e9581097727efe80ecdcc769c340-0-4f8152cb9f1355604fbd19f1ea8daf791ec1a3e4","ed692b817755e9581097727efe80ecdcc769c340","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ed692b817755e9581097727efe80ecdcc769c340-2-83fb6bf2cbc203db2965dacf7c3f3673bd1a2216"
"Engineering Support","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0.9","0","0.6","0","0.1","0","0.1","0","0.1","","","0","0.1","0","0","","ed692b817755e9581097727efe80ecdcc769c340-1-d67f134f9876043e2d2a2e93edd06ad21711f2d6","ed692b817755e9581097727efe80ecdcc769c340","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ed692b817755e9581097727efe80ecdcc769c340-2-83fb6bf2cbc203db2965dacf7c3f3673bd1a2216"
"Sniper Upgrades and Accessories","","","","","","","","","","","","","","","","","","","","","","","","","","","30","0.3","30","0.3","30","0.3","0","0","351","3.519","0","0","160","1.6","41","0.419","30","0.3","","","30","0.3","30","0.3","","ed692b817755e9581097727efe80ecdcc769c340-0-97486cb15c75eeb67f75147a90b8ed597fe1da61","ed692b817755e9581097727efe80ecdcc769c340","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ed692b817755e9581097727efe80ecdcc769c340-3-198056256b4d4debb49f0251596083a13914a15b"
"Engineering Support (ESIP)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.2","0","0.2","0","0.2","0","0","0","1.588","0","0","0","0.294","0","0.294","0","0.2","","","0","0.2","0","0.2","","ed692b817755e9581097727efe80ecdcc769c340-1-66a665f9a7db654493bbfccb1ff8d5453526fac9","ed692b817755e9581097727efe80ecdcc769c340","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ed692b817755e9581097727efe80ecdcc769c340-3-198056256b4d4debb49f0251596083a13914a15b"
"INSTALL KITS Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.762","1","0.776","1","0.79","106","95.226","133","105.229","6","0.000","7","0.000","9","6.275","2","1.4","","","2","1.4","0","0.000","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-9fd982da20a220c4d87b2fdc47d66695ea251fcc","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-84cc05dc7af8ea56abf74b87ecc60860018f18f1"
"INSTALL KITS Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","5","3.75","7","3.75","2","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","","fb54e06467b731bf13ac60b5c589758d4131acbd-1-79cd8e52a9a45cc89a342097e2c1ad0c31252b92","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-84cc05dc7af8ea56abf74b87ecc60860018f18f1"
"INSTALL KITS Group A (Active)","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.912","1","1.1","1","1.2","2","2.4","9","9.226","0","0.000","0","0.000","2","1.79","1","0.912","","","1","0.912","1","0.912","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c8674b145b4e9bfa8d8075bc199bf6eba950d858","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c6c3bd766f742f2b686fe48ff31758de3df43447"
"INSTALL KITS Group A (Guard)","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","0.000","3","3.9","3","3.9","0","0.000","0","0.000","0","0.000","0","0.000","","","0","0.000","0","0.000","","fb54e06467b731bf13ac60b5c589758d4131acbd-1-b0036fc531852d70ff30fef350ea71b3249192fb","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fb54e06467b731bf13ac60b5c589758d4131acbd-0-c6c3bd766f742f2b686fe48ff31758de3df43447"
"1.1.1) Concurrency - Organic","","","","","","","","","","","","","","","","","","","","","","","","","","","","214.638","","168.411","","176.147","","","","879.652","","","","","","","","109.007","","","","109.007","","211.449","","fd64ea777b5afd3ab379c712092ce0ea6f48ec00-0-ec055e48700d567a00a4a1f4e517576583bb3eb8","fd64ea777b5afd3ab379c712092ce0ea6f48ec00","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","fd64ea777b5afd3ab379c712092ce0ea6f48ec00-0-8a3fc52b3ca7382e7bccd45014e4d59b896c63a9"
"1.1.1) MH-53E CATSS Kits - NonOrganic","","5","","","","","","5","","","","","","0.63","","","","","","0.63","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-ca338cf479e34c637a68d36e0eda6334777f5893","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-886c35ecd10950eaba8211dd9ff0a4022bac683c"
"1.1.2) Crew Chief Seats (CACCS) - NonOrganic","(QTY) 219 CACCS procured. (QTY) 197 will be installed due to installs not completed prior to retirement of CH-53D.","219","","","","","","219","","","","","","1.854","","","","","","1.854","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-1-7687e32ae7788b5650ae6f009355df774a73a485","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-886c35ecd10950eaba8211dd9ff0a4022bac683c"
"1.1.3) Archived ECP's OSIP 20-97 - Organic","","514","","","","","","514","","","","","","26.924","","","","","","26.924","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-2-fdc78b08fb15c33e2831d516c867f23d7a2b9ebb","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-886c35ecd10950eaba8211dd9ff0a4022bac683c"
"1.1.1) CH-53E A-Kits - NonOrganic","CH-53E A-Kits QTY of 149, only 148 are actually installing.  One is not installing due to mishap.","118","","","","","","118","","","","","","35.747","","","","","","35.747","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-376087672315d3d6016d925a4e6314efc0a016a1","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-037db34dd4e8f3203763932e77f25428834bb3ce"
"1.1.2) CH-53E A Kits (CONG) - NonOrganic","","31","","","","","","31","","","","","","10.552","","","","","","10.552","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-1-210401048e5a7d6a0e089fb8647954715b4b2692","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-037db34dd4e8f3203763932e77f25428834bb3ce"
"1.1.3) MH-53E Kits (A-kits) - NonOrganic","MH-53E Kits - of the 31 procured, 2 installed kits (OCO) have been archived, leaving 29 Kits - only 28 of the 29 are installing due to mishap. Included in the remaining 28 installs is 1 trainer kit (FY13).","29","","","","","","29","","","","","","9.995","","","","","","9.995","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-2-da66b7ccc852918ebb65c83fc2f017426687b4f9","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-037db34dd4e8f3203763932e77f25428834bb3ce"
"1.1.4) Archived A Kits OSIP 007-98 - Organic","","10","","","","","","10","","","","","","5.441","","","","","","5.441","","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-3-21a8e919afef655ce470c5ac476c0154bf77996c","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-037db34dd4e8f3203763932e77f25428834bb3ce"
"1.1.1) MH-53E Backbone A Kits - Organic - Organic","","","","","19","19","1","22","1","1","","","","","","","0.19","0.19","0.01","0.22","0.01","0.01","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-27388021088d77314e313a7da48b5c8614d7f066","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-0b39b4661df7797e1830a90691fecd4b80621705"
"1.1.2) MH-53E Backbone A Kits - Reserve - Organic","","","","","1","1","2","7","1","3","","","","","","","0.01","0.01","0.02","0.07","0.01","0.03","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-1-1f09533914e6754eaf8fb10608479b5df0a3fd57","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-0b39b4661df7797e1830a90691fecd4b80621705"
"1.1.3) CH-53E Backbone A Kits - Organic - Organic","","","","36","14","14","33","142","25","24","8","2","","","","0.4","0.14","0.14","0.33","1.47","0.25","0.24","0.08","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-2-7a0dbdbbdfc25bd736577d17149714fac78f8058","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-0b39b4661df7797e1830a90691fecd4b80621705"
"1.1.4) CH-53E Backbone A Kits - Reserve - Organic","","","","","","","","6","","4","2","","","","","","","","","0.06","","0.04","0.02","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-3-3a349ce1844dba7222d7185ac9889deba48e41b4","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-0b39b4661df7797e1830a90691fecd4b80621705"
"1.1.5) MH-53E Kit - Organic - Organic","","","","","19","19","1","22","1","1","","","","","","","4.75","4.75","0.25","5.5","0.25","0.25","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-4-f27842b525bc318fcfe9b96c2ac9c783190bfeaa","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","00ae7877ac8b3fc9146b2376e9e25adf01a0bd43-0-0b39b4661df7797e1830a90691fecd4b80621705"
