"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_AllPriorYears_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Army National Guard","","42.742","","","","42.742","","53.165","","53.506","","56.616","","","","","","","","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb-1-6ba2da9b91c614cef602babb2222c813bb1df4b6","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb","root","d6b10d09328a9bd14f7c3c0d752a0d8c75d78dbb-9f37787fadcabd5785e86e64d847554744e4b1aa"
"Army National Guard","","18","","","","18","","","","","","18","","17.447","","17.855","17.586","","","d6c681a31e87bd17d4ed9bf606a4d4d375a3971a-0-caea416629e04efb14c129f7b55b65f8939ff782","d6c681a31e87bd17d4ed9bf606a4d4d375a3971a","root","d6c681a31e87bd17d4ed9bf606a4d4d375a3971a-7477aa831c55d7398e6c33bebeefc5b6e9b8b7da"
"Army Active","","3.663","","","","3.663","","6.05","","3.576","","3.637","","3.738","","3.748","3.792","","","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4-0-902081ddc67e28b456efbc88f1c33946d35900fc","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4","root","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4-4420d3258824aff980b361c98c8769e0ce3c3437"
"Army National Guard","","2.442","","","","2.442","","5.62","","2.492","","2.436","","2.58","","2.587","2.619","","","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4-1-1ee841c6c108343267fad61864c413bfb45763f8","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4","root","d7eda53ceae9fba166d6b2e9a8e4858cbec6aaf4-4420d3258824aff980b361c98c8769e0ce3c3437"
"Navy Active","","","","","","","","33.878","","15.148","","31.127","","31.425","","0.007","0.001","","","d83199c85da81df2e7bd5bb8e8ece053768be655-0-63388d001028077b0e3cf7ad44853924538632a8","d83199c85da81df2e7bd5bb8e8ece053768be655","root","d83199c85da81df2e7bd5bb8e8ece053768be655-a3ce17c496da75779befbd9af4e4bc54af1a4c49"
"Navy Reserve","","","","","","","","3.422","","4.502","","0.919","","","","","","","","d83199c85da81df2e7bd5bb8e8ece053768be655-1-f9a2b048dce9577ae28db003d697a498ec4506fb","d83199c85da81df2e7bd5bb8e8ece053768be655","root","d83199c85da81df2e7bd5bb8e8ece053768be655-a3ce17c496da75779befbd9af4e4bc54af1a4c49"
"Army Active","","","","","","","","56.671","","","","","","","","","","","","d834b06293298cddc2fc0df0a2d8cff8a9f44d7d-0-07363bc954a05e16d39df8f5654d734328bc4839","d834b06293298cddc2fc0df0a2d8cff8a9f44d7d","root","d834b06293298cddc2fc0df0a2d8cff8a9f44d7d-b9dbca450d06de6775c714caf0829fcdb64e640e"
"Army Active","","0.013","","","","0.013","","","","","","15.1","","15.35","","15.68","15.999","","","d9f1f07cfa8efbe8952c8b263ada134bddc69ec3-0-902e4a1edea43a98a9f341d76140d7ae8916e0a7","d9f1f07cfa8efbe8952c8b263ada134bddc69ec3","root","d9f1f07cfa8efbe8952c8b263ada134bddc69ec3-799c72b13660408cfae4afc2977d941d1dfa5102"
"Navy Active","","5.142","","","","5.142","","7.334","","16.883","","9.89","","13.828","","12.674","13.09","","","da0e677cab1714407d56b03008ec22988f704b64-0-1f5c6a74d390945198b3e7cb97f1338814c7cb7c","da0e677cab1714407d56b03008ec22988f704b64","root","da0e677cab1714407d56b03008ec22988f704b64-dbd73591c413e7462e1a3383a10532bdfe6f3a91"
"Navy Reserve","","0.398","","","","0.398","","9.453","","11.841","","12.986","","10.286","","7.314","27.342","","","da0e677cab1714407d56b03008ec22988f704b64-1-12a81528cbd48bef49593d26d167298f2675183c","da0e677cab1714407d56b03008ec22988f704b64","root","da0e677cab1714407d56b03008ec22988f704b64-dbd73591c413e7462e1a3383a10532bdfe6f3a91"
"Army Active","","","","","","","947","7.06","28","1.399","","","","","","","","","","dae5ba3fda8ae82883214d972c86d095cfda770d-0-1fcb7b9ce071d950664d1764cf14d54e9c030368","dae5ba3fda8ae82883214d972c86d095cfda770d","root","dae5ba3fda8ae82883214d972c86d095cfda770d-e62150c349ea767bf07d43c5b86463783e0ef2b7"
"Army National Guard","","","","","","","90","4.04","18","0.933","","","","","","","","","","dae5ba3fda8ae82883214d972c86d095cfda770d-1-e535aa08b10ebde968e8c97e7bf416f2f2e655f6","dae5ba3fda8ae82883214d972c86d095cfda770d","root","dae5ba3fda8ae82883214d972c86d095cfda770d-e62150c349ea767bf07d43c5b86463783e0ef2b7"
"Army Active","","17.59","","","","17.59","","15.024","","10.848","","13.92","","13.999","","14.237","14.35","","","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-0-6854cc1ee32fb2980e66219f8d260aae7bb4546f","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b","root","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-7ebe0f5d9bc20330171570d1b4d1f9107814ec85"
"Army National Guard","","","","","","","","2.672","","","","","","","","","","","","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-1-d16ce8c46f2e02c7be00ea8024f707bc4cc0bb20","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b","root","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-7ebe0f5d9bc20330171570d1b4d1f9107814ec85"
"Army Reserve","","","","","","","","1.092","","","","","","","","","","","","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-2-41c310125dbbd41ae7f0d9b1ffedefaefde4ca41","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b","root","db99adf51ba187ec6f36bd6b19baf83fe2c10f2b-7ebe0f5d9bc20330171570d1b4d1f9107814ec85"
"Army Active","","1.185","","","","1.185","","30.4","","14.6","","4.254","","3.916","","3.255","4.2","","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-0-69878451cecd1ea2cfe46c26b852af5d2b05efaa","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root","dc431045d25b5288be1d9a6544c2fd045fcec1e6-a31fbdc6a7d92216064ef8373454c7bc1a2ad6d9"
"Army National Guard","","","","","","","","3.005","","3.075","","","","","","","","","","dc431045d25b5288be1d9a6544c2fd045fcec1e6-1-b35d41805b2460747ab780db5cae5719ef28bdda","dc431045d25b5288be1d9a6544c2fd045fcec1e6","root","dc431045d25b5288be1d9a6544c2fd045fcec1e6-a31fbdc6a7d92216064ef8373454c7bc1a2ad6d9"
"Army Active","","","","","","","88","662.231","84","646.59","","","","","","","","","","dc4e4ef1a6032afac2a74e1617b5bff4a4f80d58-0-a34e3dab360a23f8d45db262926df70a37612285","dc4e4ef1a6032afac2a74e1617b5bff4a4f80d58","root","dc4e4ef1a6032afac2a74e1617b5bff4a4f80d58-615dddfe219ecfc2a976ce3833659ebf4873381b"
"Army Active","41897","70.846","","","41897","70.846","","","12000","21.272","42736","70.92","42796","70.976","42781","70.863","70","42194","","dde538245c2c5aaa3915cce0caa3ffa6404b7e4d-0-2818ab90e6f3f5aa8e3e651ef15233d81fc50e49","dde538245c2c5aaa3915cce0caa3ffa6404b7e4d","root","dde538245c2c5aaa3915cce0caa3ffa6404b7e4d-204022b3b1cd6a2eaf85f597125ffd9476115244"
"Army Active","69","11.593","","","69","11.593","64","17.411","206","12.92","7","57.061","9","52.154","10","50.773","49.41","12","","deeb43f6fd4260f8b4840e5d04cd25735326ca79-0-0a55cda2a18f2aa3b5a8f3c71abed0dac09e1eba","deeb43f6fd4260f8b4840e5d04cd25735326ca79","root","deeb43f6fd4260f8b4840e5d04cd25735326ca79-da4134255ac745526b172fb96ccacbe13c555cee"
"Army Active","1597","8.948","","","1597","8.948","480","34.15","1092","19.206","1259","17.766","961","14.322","932","16.932","16.524","840","","df1b69796c3bdd4a0e1b9175dba051c5ba2b48a8-0-19156c3855072edf25ce094407ea356522b50806","df1b69796c3bdd4a0e1b9175dba051c5ba2b48a8","root","df1b69796c3bdd4a0e1b9175dba051c5ba2b48a8-f1c65120996b0eae5b5f0c5b4d4a485b575e6001"
"Army Active","423","87.732","","","423","87.732","","176.995","1032","141.385","1708","100.605","1409","96.024","1301","91.518","85.578","","","df6c7416331ed028d9c3027dd7db9a659283575f-0-a59e55f63319bd5fd5a9b7036cab4248738ebe3a","df6c7416331ed028d9c3027dd7db9a659283575f","root","df6c7416331ed028d9c3027dd7db9a659283575f-ac315734afc260918d2c5b798fcba71123c753a2"
"Army National Guard","75","15.482","","","75","15.482","","31.234","","","313","18.454","258","17.614","239","16.787","15.698","","","df6c7416331ed028d9c3027dd7db9a659283575f-1-88279a0f43f98dccd828762ea913bcf966a76bec","df6c7416331ed028d9c3027dd7db9a659283575f","root","df6c7416331ed028d9c3027dd7db9a659283575f-ac315734afc260918d2c5b798fcba71123c753a2"
"Army Active","","","","","","","","","","12.051","","","","","","","","","","dff6f3a56d4417a8a0f25a77608794ee21296cbc-0-66c8da7698822adcaf73cf743439723a5bb11aac","dff6f3a56d4417a8a0f25a77608794ee21296cbc","root","dff6f3a56d4417a8a0f25a77608794ee21296cbc-eb71720b370e56ef5a1c774a0095edfaecaf44d0"
"Navy Active","","40.343","","","","40.343","","19.146","","42.101","","45.651","","48.086","","49.331","50.015","","","e0768288d0b558e1ac356891817e487137e14d48-0-0c162e6d38ed665a9f0feefff2e0c5fd8334e10a","e0768288d0b558e1ac356891817e487137e14d48","root","e0768288d0b558e1ac356891817e487137e14d48-781268fb568fd0c520b0d1951e2ba67e0dc58b09"
"Navy Reserve","","0.055","","","","0.055","","0.054","","0.055","","0.058","","0.059","","0.059","0.06","","","e0768288d0b558e1ac356891817e487137e14d48-1-089307362a3d517a4c89575b2b62a19fa1d58457","e0768288d0b558e1ac356891817e487137e14d48","root","e0768288d0b558e1ac356891817e487137e14d48-781268fb568fd0c520b0d1951e2ba67e0dc58b09"
"Navy Active","","1.243","","","","1.243","","2.104","","2.318","","2.328","","2.198","","1.936","1.97","","","e1911608189025ec6245978d69a0d7ced4471ede-0-eb5c71f73f1b3fee63180efabc49e3f56fb9c023","e1911608189025ec6245978d69a0d7ced4471ede","root","e1911608189025ec6245978d69a0d7ced4471ede-07a2c04720ed2721843ad3f3454f72125a13f079"
"Navy Reserve","","0.41","","","","0.41","","","","","","0.411","","0.412","","0.413","0.422","","","e1911608189025ec6245978d69a0d7ced4471ede-1-1b647a1ad92c3109f1466f32a13d3f1e940f2815","e1911608189025ec6245978d69a0d7ced4471ede","root","e1911608189025ec6245978d69a0d7ced4471ede-07a2c04720ed2721843ad3f3454f72125a13f079"
"Army Active","","20","","","","20","","","","","","20","","20","","20","20","","","e2394b696fd9a6972e829a5e74bfaa0de52bdf18-0-b23444c6a8ef64746308352527aac1349a871c0a","e2394b696fd9a6972e829a5e74bfaa0de52bdf18","root","e2394b696fd9a6972e829a5e74bfaa0de52bdf18-25c752b45c76e621564a4458ac15d3ec077a74f4"
"Army Active","11815","23.595","","","11815","23.595","","","6000","12.984","9500","20","","","","","","","","e28f6ef08430bed699a133e380ef22535f9562b6-0-ee4343124fcfd5eff79847889ab7e925d865940a","e28f6ef08430bed699a133e380ef22535f9562b6","root","e28f6ef08430bed699a133e380ef22535f9562b6-a27d7999aa79323a989db80cea9c0d5af1e02004"
"Army National Guard","4152","8.273","","","4152","8.273","","","","","","","","","","","","","","e28f6ef08430bed699a133e380ef22535f9562b6-1-f7f1e2a9208f0f424fb9c310868ccf0919e012e9","e28f6ef08430bed699a133e380ef22535f9562b6","root","e28f6ef08430bed699a133e380ef22535f9562b6-a27d7999aa79323a989db80cea9c0d5af1e02004"
"Army Active","","374.1","","","","374.1","62","327.723","26","128.574","","479.176","","185.131","","","","","","e428735d830d1d9810e746466df4af20ec3c58e8-0-3a29419d7d0ae9149132f84ed090f285ca63853a","e428735d830d1d9810e746466df4af20ec3c58e8","root","e428735d830d1d9810e746466df4af20ec3c58e8-9357d2220dfd31a26e49fc5ef5130173930cdad2"
"Army National Guard","","","","","","","25","109.241","24","118.683","","","","","","","","","","e428735d830d1d9810e746466df4af20ec3c58e8-1-3732d04936725045527be5546c12fe87599ca298","e428735d830d1d9810e746466df4af20ec3c58e8","root","e428735d830d1d9810e746466df4af20ec3c58e8-9357d2220dfd31a26e49fc5ef5130173930cdad2"
"Army Reserve","","","","","","","13","169.93","8","39.561","","","","","","","","","","e428735d830d1d9810e746466df4af20ec3c58e8-2-d055d4296f394ad96c424afdebd0c056400fc8cb","e428735d830d1d9810e746466df4af20ec3c58e8","root","e428735d830d1d9810e746466df4af20ec3c58e8-9357d2220dfd31a26e49fc5ef5130173930cdad2"
"Army Active","","","","","","","","21.224","","14.377","","","","","","","","","","e4428363a4fae2d5681973aa3476f7fd3f101ba2-0-7940646194252ab81a80191bf7765d5b2fdc1f6b","e4428363a4fae2d5681973aa3476f7fd3f101ba2","root","e4428363a4fae2d5681973aa3476f7fd3f101ba2-8cf3f38fe60f8f3657ef17e3713a4069daf92af7"
"Navy Active","","2.431","","","","2.431","","24.762","","5.435","","7.797","","8.156","","7.409","7.536","","","e4654aa0b40e867881fa349ab62aedcfbda109d5-0-d43c9360bb68d15ae4ed5ee4bfca29fcf78ad187","e4654aa0b40e867881fa349ab62aedcfbda109d5","root","e4654aa0b40e867881fa349ab62aedcfbda109d5-0e4b9248187a02e27a3ae059e616c85a5ef66e22"
"Navy Reserve","","1.856","","","","1.856","","0.136","","1.909","","1.853","","1.886","","1.928","1.961","","","e4654aa0b40e867881fa349ab62aedcfbda109d5-1-0f5dd749f18824473c40e84f53f9205cc06b5569","e4654aa0b40e867881fa349ab62aedcfbda109d5","root","e4654aa0b40e867881fa349ab62aedcfbda109d5-0e4b9248187a02e27a3ae059e616c85a5ef66e22"
"Air Force Active","","6.611","","","","6.611","","16.431","","15.989","","0.000","","0.000","","0.000","0.000","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-0-9b39f65184cdfc128b77e3f31607ee80979319d2","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-3f0afd37e32d44b10e7137455c27d4d5ad9ea6cc"
"Air National Guard","","0.88","","","","0.88","","1.951","","2.287","","0.000","","0.000","","0.000","0.000","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-1-e10f33c84384dfca32b4ff0fb23605c853a1cc3a","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-3f0afd37e32d44b10e7137455c27d4d5ad9ea6cc"
"Air Force Reserve","","0.527","","","","0.527","","0.028","","2.281","","0.000","","0.000","","0.000","0.000","","","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-2-e9b7f5f1d652a97b20e5bc762767085d7db0108b","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f","root","e5cbc60c7fe64ef9b8c7b39858175873248ddd9f-3f0afd37e32d44b10e7137455c27d4d5ad9ea6cc"
"Army Active","","34.951","","","","34.951","","41.248","","35.493","","39.129","","39.432","","38.874","39.574","","","e656a6a4a8cd7a86d68361b2d4b05b6664fdeddb-0-f4d242fbb48447a12aef5e641d68faf4fe0ae788","e656a6a4a8cd7a86d68361b2d4b05b6664fdeddb","root","e656a6a4a8cd7a86d68361b2d4b05b6664fdeddb-e67d2568cb546ecb3f9c1ca64e8c2cf7e5f90d06"
"Air Force Active","","9.78","","","","9.78","","1.757","","1.75","","4.813","","1.845","","1.878","1.912","","6.679","e6a0308838296a51cfadac2f82cd2894ae494d84-0-b613e15e98870359707bf42e27f5f728cb042933","e6a0308838296a51cfadac2f82cd2894ae494d84","root","e6a0308838296a51cfadac2f82cd2894ae494d84-d87a6ca5bbb243a97ca1888842491d184435d329"
"Army Active","42","759.4","","","42","759.4","27","593.268","40","684.822","48","839","24","595","48","888.9","619.3","24","","e890fcac58ea9092cbdeff33a3fb7aeeb2183683-0-e84c5facff4e443b7658d38c5d3d0640b5018711","e890fcac58ea9092cbdeff33a3fb7aeeb2183683","root","e890fcac58ea9092cbdeff33a3fb7aeeb2183683-bf619cf6097285e1865fa0b8ec7f2ad2d8be527c"
"Army National Guard","","","","","","","","","","","","","24","276","","","276","24","","e890fcac58ea9092cbdeff33a3fb7aeeb2183683-1-de46208dc7a91232022c8dfc0fe1222581c999ad","e890fcac58ea9092cbdeff33a3fb7aeeb2183683","root","e890fcac58ea9092cbdeff33a3fb7aeeb2183683-bf619cf6097285e1865fa0b8ec7f2ad2d8be527c"
"Army Active","255","4.223","","","255","4.223","608","7.81","415","2.878","1063","10.64","1179","11.459","1115","12.041","","","","e9ed0619396ae603b7d818e3277880bfea31b208-0-1222d83716beac8327490a8dac6070203df7f8df","e9ed0619396ae603b7d818e3277880bfea31b208","root","e9ed0619396ae603b7d818e3277880bfea31b208-498a0296b78886ce8ac8cdf6cffac7aaa011fe6d"
"Army National Guard","148","2.064","","","148","2.064","","","274","1.863","484","6.884","537","7.279","489","7.701","","","","e9ed0619396ae603b7d818e3277880bfea31b208-1-264fdfc4e5660ad4d997f902af81282e08f41b94","e9ed0619396ae603b7d818e3277880bfea31b208","root","e9ed0619396ae603b7d818e3277880bfea31b208-498a0296b78886ce8ac8cdf6cffac7aaa011fe6d"
"Army Reserve","61","0.982","","","61","0.982","237","2.299","643","7.469","458","4.827","480","5.583","473","5.929","","","","e9ed0619396ae603b7d818e3277880bfea31b208-2-370e342df62e0588ff74b1eb64fdc2472689c743","e9ed0619396ae603b7d818e3277880bfea31b208","root","e9ed0619396ae603b7d818e3277880bfea31b208-498a0296b78886ce8ac8cdf6cffac7aaa011fe6d"
"Army Active","","65.397","","","","65.397","","114.517","","82.511","","56.445","","57.984","","51.088","59.779","","","eae4866b8e16d436c6c7b17dcc6112e39baec850-0-49c812616dcd404b40847948cd34f7c5ce7b13db","eae4866b8e16d436c6c7b17dcc6112e39baec850","root","eae4866b8e16d436c6c7b17dcc6112e39baec850-cc2679a498daf08cadfe4784fdca2c778fb5d159"
"Army Active","41","7.17","","","41","7.17","168","16.727","","","53","7.402","52","7.386","117","17.824","17.048","101","","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-0-56797c7a396d003faf28a393e1b61dc1fe1a62e6","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb","root","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-1c325b41062fba57503214fc5863110bc8e024e4"
"Army National Guard","102","10.27","","","102","10.27","68","9.066","","","98","9.999","85","9.243","54","5.126","5.676","60","","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-1-1502b86f00ae6656b46ef325087f5c3a922a28c6","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb","root","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-1c325b41062fba57503214fc5863110bc8e024e4"
"Army Reserve","74","10.656","","","74","10.656","8","1.067","","","71","10.147","74","10.462","37","4.602","4.908","40","","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-2-36a342ea884209feceb2d01be41694783d0697ae","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb","root","ed08bdd2cbc47f564ce2ee1c90c8f9f6644aeabb-1c325b41062fba57503214fc5863110bc8e024e4"
"Army Active","","3.308","","","","3.308","9225","25.71","3592","27.353","","6.642","","6.035","","4.807","4.349","","","ed274a4340c4d0e9524aebd573f48ff30268c253-0-6a9417fc6ef7058fc3edada21105072bceb7b41a","ed274a4340c4d0e9524aebd573f48ff30268c253","root","ed274a4340c4d0e9524aebd573f48ff30268c253-9e766d36bdda116ecd863e3268627efefb76c1d3"
"Army Reserve","","","","","","","614","0.658","","","","","","","","","","","","ed274a4340c4d0e9524aebd573f48ff30268c253-1-203c5969ac599c46f8563deebb1e90ff507a7779","ed274a4340c4d0e9524aebd573f48ff30268c253","root","ed274a4340c4d0e9524aebd573f48ff30268c253-9e766d36bdda116ecd863e3268627efefb76c1d3"
"Army Active","","43.395","","","","43.395","","38.98","","13.872","","43.654","","36.539","","36.021","36.669","","","edecf3663b847d60d2f87c760731cf0566748507-0-3613fa635c1233876ee50f757b2799476f5b58b3","edecf3663b847d60d2f87c760731cf0566748507","root","edecf3663b847d60d2f87c760731cf0566748507-3c15f2428c2a006978e03ff842a1a07fa0d51bb8"
"Army Active","","","","","","","85","24.805","311","83.937","","","","","","","","","","ee97da7555f35397092992c8dedd1e53c984f086-0-0cc0c3cc4fe5ee0a83766b6c1b87781211c2a878","ee97da7555f35397092992c8dedd1e53c984f086","root","ee97da7555f35397092992c8dedd1e53c984f086-fa2a73dea66d6b9be6096db53935fa93d5f91ae9"
"Navy Active","","19.062","","","","19.062","","46.674","","55.802","","21.359","","10.387","","8.104","10.324","","","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa-0-b55059176c33788676bdf374301f12187355eeff","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa","root","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa-9f30132550f8b7bb367a1f157918c21db9111f27"
"Navy Reserve","","8.323","","","","8.323","","","","","","3.198","","2.215","","2.89","0.868","","","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa-1-197c78aed73dc2d52b569d3f823c8127d69c3297","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa","root","ef1eb7cab4c74d1421a219ccf2edcdf2279728fa-9f30132550f8b7bb367a1f157918c21db9111f27"
"Army Active","","1.237","","","","1.237","","10.712","","206.679","","1.285","","1.315","","1.356","1.442","","","efb2bd16cdd136c2a7e18655af228002e50b4db4-0-c602d05bb3bbbbf721b7e145cc7d6c01061edd4e","efb2bd16cdd136c2a7e18655af228002e50b4db4","root","efb2bd16cdd136c2a7e18655af228002e50b4db4-ebb1b3038703fded68bcdaa0a32d6542c0c25c1e"
"Air Force Active","","0.277","","","","0.277","","0.238","","0.272","","0.288","","0.296","","0.3","0.305","","30.473","f0a05e11c08cb00c4af6e0efdc9a496345544ce9-0-3c78c0aaacbf8e8e986126575415933d7075c246","f0a05e11c08cb00c4af6e0efdc9a496345544ce9","root","f0a05e11c08cb00c4af6e0efdc9a496345544ce9-95c5138205643c56336e37e0abc1865a2a8ae5d0"
"Air Force Active","","2.456","","","","2.456","","36.587","","6.967","","20.267","","46.828","","43.831","46.249","","255.52","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-0-e59adf94e51e9353c7723317e14eec3d0de1276f","f0c29f5095000c4f762d60e06ac9cb596ad70eb6","root","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-f60caa05b8d38f16fdbf6dc60b21da212bca0642"
"Air National Guard","","","","","","","","0.000","","0.000","","","","","","","","","11.993","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-1-70d52a84cf0bd71513696551058e9544c94fccc9","f0c29f5095000c4f762d60e06ac9cb596ad70eb6","root","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-f60caa05b8d38f16fdbf6dc60b21da212bca0642"
"Air Force Reserve","","0.000","","","","0.000","","34.453","","0.000","","","","0.000","","3.19","1.62","","64.606","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-2-d1c89ee6eb5e6a65d0a4a7443fa8c7cc8882901c","f0c29f5095000c4f762d60e06ac9cb596ad70eb6","root","f0c29f5095000c4f762d60e06ac9cb596ad70eb6-f60caa05b8d38f16fdbf6dc60b21da212bca0642"
"Army Active","","","","","","","91","28.857","","9.181","172","57.252","109","35.404","71","27.747","","","","f18836cdf6064dcda7b37f838b38689500769391-0-240503bff7f308d8036d40efcb82f6cdc6a5757f","f18836cdf6064dcda7b37f838b38689500769391","root","f18836cdf6064dcda7b37f838b38689500769391-16d6eeace086000b203ed6bb4628ba5f51789127"
"Army National Guard","","","","","","","230","86.192","","14.941","36","15.305","102","41.584","118","45.979","","","","f18836cdf6064dcda7b37f838b38689500769391-1-99d28217b65a0cc7d11427dc65c80b105478d2ac","f18836cdf6064dcda7b37f838b38689500769391","root","f18836cdf6064dcda7b37f838b38689500769391-16d6eeace086000b203ed6bb4628ba5f51789127"
