"Name_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","","","","","","","5.713","8.705","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-e8f6c856217cfecf083fd59805581c24b5b01fe4","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-6-4c3fa3e3c40102eb16ef14363a45a8cd5b5e667b"
"Air Force Active","0","0.3","0.428","0.428","","0.82","","1.999","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-39991f5feca800ca6a93e890f91969682f1a67e9","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-7-e875c077a47156921cf19eb106fbc94b6b26dc3b"
"Air National Guard","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-1-293dd7741e9e14906ee5e7e45653a06c5f87f5d1","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-7-e875c077a47156921cf19eb106fbc94b6b26dc3b"
"Air Force Reserve","0","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-2-f32b2d3856fcbe3c6249da1f462517d01040d630","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-7-e875c077a47156921cf19eb106fbc94b6b26dc3b"
"Air Force Active","4.282","1.76","0.22","0.22","","","","","","99","40","","5","5","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-be6544efd70627c093aa2dcc749b6194ff7c3e7f","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-d9a4f378de251d184e8e31a2f2049775d9fab72a"
"Air National Guard","","","0.22","0.22","","","","","","","","","5","5","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-44b0e1d34953e106f671ea8299aa4c4b685aa4d0","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-d9a4f378de251d184e8e31a2f2049775d9fab72a"
"Air Force Reserve","","","0.088","0.088","","","","","","","","","2","2","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-2-bc7c7cb505ad2952f0071d398035347a68bce2f6","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-d9a4f378de251d184e8e31a2f2049775d9fab72a"
"Air Force Active","","0.245","","0.041","","","","","0.041","","6","1","1","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-9cd7adb8489e79c76e61154d875771388f8076b5","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-862eb39af8f9dcf7e42c690425fdbf44926f5936"
"Air Force Active","0.246","1.171","","","","","","","","4","15","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-ba5cbeeee94626419954d896928f7a22021bb934","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-2-89be069107cf5a0986741c8c74d4ad2e1f121479"
"Air Force Active","0.61","0.34","","","","","","","","9","5","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-cbf7748524fbfd0b0ddc9965bc4326f198d172d7","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-3-23c091d1ec9fc999a4e8a0688cc08750af22164c"
"Air Force Active","2.918","0.224","0.297","0.297","","","","","","96","7","","9","9","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-6cf6a26cf68c44277885dc1eca6ce0e6544eedfd","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-4-236fbafce4b43bae93a082d051acdc312038c697"
"Air Force Reserve","","0.064","","","","","","","","","2","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-de349371fbd7fa92fd6bfe52c55dd21b3a73dca9","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-4-236fbafce4b43bae93a082d051acdc312038c697"
"Air Force Active","2.203","0.48","0.476","2.38","","","","","1.904","78","15","56","70","14","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-b970d36226d979fb4eff2503dc2ee6d5a22448b2","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-5-f350437beeb17b72d8da99185498ea3d1a202056"
"Air Force Reserve","","0.224","0.374","0.374","","","","","","","7","","11","11","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-6ddf9db26f810efd76564a22224418f4321375dc","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-5-f350437beeb17b72d8da99185498ea3d1a202056"
"Air Force Active","1.052","0.546","0.496","1.271","","","","","0.775","43","20","25","41","16","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-3faa6fa7d886eddda11d3d9e3ef18868ec2d7d45","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-6-b77373ed4fc1d2e71a109166758b4c9ac210fb7c"
"Air Force Reserve","","0.109","0.093","0.093","","","","","","","4","","3","3","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-153d96a1949f8554067c13a84963cdc948010912","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-6-b77373ed4fc1d2e71a109166758b4c9ac210fb7c"
"Air Force Active","0.671","0.09","0.21","0.21","","","","","","16","3","","7","7","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-2d80d3df7766988c962ccd1e57e48a83319b0f9e","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-7-9b79e4bd7a5f9a322ae85eb27a8fe2a1cc8b31de"
"Air Force Reserve","","0.15","","","","","","","","","5","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-069a3014a44260e23264c59c3d82168bc80ea109","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-7-9b79e4bd7a5f9a322ae85eb27a8fe2a1cc8b31de"
"Air Force Active","0.197","0.375","0.297","0.972","","","","","0.675","8","15","25","36","11","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-6dbdd0965fd3e38412dd21b0e1b8c82ccaa57538","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-8-75acf2a32dd927a3d1c3b8b5dc8e6adaabac5a19"
"Air Force Active","0.29","0.28","0.364","0.364","","","","","","11","10","","13","13","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-b767b43bb9de9fc462b81fd4afc84da4a5676a36","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-9-f554e12eae81f122df2cccf07574de2c4393dea6"
"Air Force Reserve","","0.084","","","","","","","","","3","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-5303e15fa28ddd71f1bc78d94836e5a77192d997","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-9-f554e12eae81f122df2cccf07574de2c4393dea6"
"Air Force Active","0.045","0.194","0.729","0.729","","","","","","2","8","","30","30","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-8f9677903e6f5761da2fe025a99c1e941e9120c9","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-10-bd64a27482c260b1593d549d923a846847e3d58b"
"Air Force Reserve","","","0.073","0.073","","","","","","","","","3","3","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-aabc1ece0a36cf16505d83a22eef1bf74ef730c9","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-10-bd64a27482c260b1593d549d923a846847e3d58b"
"Air Force Active","0.623","0.181","0.726","0.726","","","","","","28","8","","30","30","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-5cfd94ee21aecb18856d50a8237324428caf03a4","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-11-077ba66d1890b93d02dfd72d479c77744cd522fa"
"Air Force Reserve","","0.271","0.073","0.073","","","","","","","12","","3","3","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-f5e360e30055403600ac9b3d7d736b1c264ed304","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-11-077ba66d1890b93d02dfd72d479c77744cd522fa"
"Air Force Active","0.024","0.074","0.05","0.05","","","","","","1","3","","2","2","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-bb225c801c5b6a12a6da47db8f645aff94290c94","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-12-e7c2deed0baf9cd84077ff9b219955d5dc01a831"
"Air Force Reserve","","0.198","","","","","","","","","8","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-59c2f6803653726cb56a53453dfa239ddaf8ea20","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-12-e7c2deed0baf9cd84077ff9b219955d5dc01a831"
"Air Force Active","3.095","1.439","0.814","2.183","","","","","1.369","90","39","37","59","22","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-8e5a7bc3c5fbc3f1a277760d9cddec93fbc271a4","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-13-61fca8e797a871b5ac449214307d52e71890bd72"
"Air Force Reserve","","0.148","0.555","0.555","","","","","","","4","","15","15","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-5ad81d6a6e7b4b17ad7b4aef8f815771b3456a09","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-13-61fca8e797a871b5ac449214307d52e71890bd72"
"Air Force Active","1.533","0.792","0.938","0.938","","","","","","11","6","","7","7","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-27fed42a32c5d34cbd3d2f99405ae1ee1899d509","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-14-efc76a468ea2938a339003ad9370649d398fca5a"
"Air Force Reserve","","0.264","0.268","0.268","","","","","","","2","","2","2","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-76b66a3de577f6ef54d3b00a97614e1b00648edf","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-14-efc76a468ea2938a339003ad9370649d398fca5a"
"Air Force Active","0.666","0.232","0.022","0.022","","","","","","32","11","","1","1","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-fec4d7593fbd9ab167cdea9b71de4a1b627502f0","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-15-ffd25f6b064eb69f30c2b916af3c8061a38907ea"
"Air Force Reserve","","0.169","0.132","0.132","","","","","","","8","","6","6","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-c53c56b902891dde9b7401dc57e525104bf46658","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-15-ffd25f6b064eb69f30c2b916af3c8061a38907ea"
"Air Force Active","3.12","","","","","","","","","26","","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-f0b728d0b5f0a5c0ae9b7902cb8d2347dedcf8fc","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-16-2a32a9238ed8f5adb31585304b6cdf14815deabf"
"Air Force Active","0.813","0.277","0.552","0.552","","","","","","40","13","","23","23","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-d00c815717f26a1adaa867b6e61c14da58b1fd30","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-17-34273e249836ac2f0cbdc0366662eb0bad8bb643"
"Air Force Reserve","","","0.12","0.12","","","","","","","","","5","5","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-5c74571e266b6201c0751fd6807c747a58a865ad","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-17-34273e249836ac2f0cbdc0366662eb0bad8bb643"
"Air Force Active","0.055","0.176","","","","","","","","2","6","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-3b91a945bd27e8d4acef4930eaab5011ba257713","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-18-dc0e85ccbdab61381bdc413962bb3aff43c241fb"
"Air Force Active","0.326","0.18","0.06","7.14","","","","","7.08","11","6","236","238","2","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-24883df9991e2287138a051174d64b20e805aaea","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-19-50147d10bc0336ad8098ab99a222cca4bafa04f6"
"Air Force Reserve","","","0.21","0.21","","","","","","","","","7","7","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-07d9ca4c9c8579975eca027abd56b0fa23fadd38","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-19-50147d10bc0336ad8098ab99a222cca4bafa04f6"
"Air Force Active","0.234","0.131","","","","","","","","9","5","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-7854559abab08f771890c26e44fb854579306b04","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-20-eccb4f2540dc3773c19ece1a05c31e7a1ba3e153"
"Air Force Reserve","","0.262","","","","","","","","","10","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-baa02ca5174a461b9f8ffe9015f77eb804c15eb0","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-20-eccb4f2540dc3773c19ece1a05c31e7a1ba3e153"
"Air Force Active","1.253","0.159","0.837","0.837","","","","","","50","6","","31","31","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-80aca60aa1de0cdc8f1eb06070b709bb1bb2adf7","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-21-339cef9c9d28e3e16f2ebd07d153aa0d9e81baf7"
"Air Force Reserve","","","0.567","0.567","","","","","","","","","21","21","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-0914e3d99ee6f5ebe40acc6b92ca1d22399dd608","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-21-339cef9c9d28e3e16f2ebd07d153aa0d9e81baf7"
"Air Force Active","0.145","0.189","0.114","0.114","","","","","","4","5","","3","3","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-ef4e5537a90b6d42abb794c4fc6e3eb97b2aa2cf","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-22-c38bce4fb68bdb44a2d4074fc137f433bd1266f5"
"Air Force Reserve","","0.038","","","","","","","","","1","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-fb57e793225cbf401b62631d8cd63cedd124cff4","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-22-c38bce4fb68bdb44a2d4074fc137f433bd1266f5"
"Air Force Active","0.042","0.252","0.043","0.043","","","","","","1","6","","1","1","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-894dcace269ec0009a6f3f104f67b1fe78286aa6","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-23-bb8940136d1a2ed987647f4bfdd94bfba1b25709"
"Air Force Active","0.045","0.144","","","","","","","","2","6","","","","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-b461802b7f0d257cf2957326f973f1de2aab9cd7","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-24-d69910d98cd737b44267cbf2d02af120a352839d"
"Air Force Active","0.23","0.052","0.06","0.06","","","","","","9","2","","2","2","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-69e6d41c57bd96d6d64d546005973c26c9e33c7a","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-25-3cf6f870e8cd070eb142f6e76dfa25d0cb61bd90"
"Air Force Reserve","","0.206","0.15","0.15","","","","","","","8","","5","5","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-22ff4091ad12f4e8855615f1d27f4d223a3f3b20","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-25-3cf6f870e8cd070eb142f6e76dfa25d0cb61bd90"
"Air Force Active","0.367","","0.195","0.195","","","","","","9","","","5","5","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-524f2b096b2b72c0c5bd7263414352f519c1e975","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-26-27209bbe583434efd0794f88fac1cb3d301f0d14"
"Air Force Active","0.318","0.051","0.062","0.062","","","","","","7","1","","1","1","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-f99693e62865adcb46d563669a3625ed04520650","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-27-c37838bde9709e9bf3f8be2897f410eaf3fc30c9"
"Air Force Reserve","","0.256","0.186","0.186","","","","","","","5","","3","3","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-1-eda8d22b21419b7794a9315712d7208fefb56aab","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-27-c37838bde9709e9bf3f8be2897f410eaf3fc30c9"
"Air Force Active","0.092","","0.033","0.033","","","","","","3","","","1","1","","","","","60bacc6c3c652708b3afaeaa47104b64d065a7ee-0-201b96906869fe4cc57bbdc875c839b46cfd8e3d","60bacc6c3c652708b3afaeaa47104b64d065a7ee","root.record.ItemExhibitList.P40AItemGroup.CategoryList.Category.ItemList.Item","60bacc6c3c652708b3afaeaa47104b64d065a7ee-28-0973d92dcd027e19b7af47c5809911ed4746387e"
