"val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0303001F","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7-0-58c451e0a05d6ea8fb2784ed01f84d323967c8cf","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7","root","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7-fba3f413a8191150c04a3c9b0ed62f1b8597849f"
"0303601F","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7-1-196474afe194fbc4e9c39c585eabff6a9a2f0716","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7","root","7b4f9bdcbfe72576c767cff69afad51ce31ab2a7-fba3f413a8191150c04a3c9b0ed62f1b8597849f"
"0708012N","7b9c5988524254533d13eb7e59513c51a86526cb-0-5cd8366d40790c17109aea4096a21086d11ede72","7b9c5988524254533d13eb7e59513c51a86526cb","root","7b9c5988524254533d13eb7e59513c51a86526cb-64dd2cf93349acdb02ba80b356fdc8fc9b87ead1"
"0102110F","7c77daac175f7cdc752874aeefc6ddbbdf62f751-0-5e2a7746244e9948be1f2d78d5b96a73e545a14f","7c77daac175f7cdc752874aeefc6ddbbdf62f751","root","7c77daac175f7cdc752874aeefc6ddbbdf62f751-881a2763a00c0d9c1e37d9bb75cded14954761ff"
"0305182F","800358cce08c70301c928d86ed1303427af1be6d-0-53d014ab24757167ac120fe8dcf7390bf61a0086","800358cce08c70301c928d86ed1303427af1be6d","root","800358cce08c70301c928d86ed1303427af1be6d-08c5cbdb803c75056965dd259a3cc85614f47c35"
"0305182F","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-9c9e22d4054c86af627583aa3dd5f64965b9b1bf","80ea4f28f4e8c40e53b4073df00452953d577a4a","root","80ea4f28f4e8c40e53b4073df00452953d577a4a-0dab00edb2b73e73d815ca516d9f423a31207b97"
"0901220SE","82e316cb3e675834a18ceaa786d8b8b7038a70b8-0-f7a1d9506e37d7ccb688a2f344f16c0cf7592f2f","82e316cb3e675834a18ceaa786d8b8b7038a70b8","root","82e316cb3e675834a18ceaa786d8b8b7038a70b8-9305c5e494635ec9662c80bdf98efb4c9ab7155f"
"0604800M","851a0e0956fe3f3be11e69d4d337d40df8d0237e-0-f67ed6bd0e14773203e202080fc84b1e4ea49be3","851a0e0956fe3f3be11e69d4d337d40df8d0237e","root","851a0e0956fe3f3be11e69d4d337d40df8d0237e-a950498dccdfa61773bd46075e82dd5d17af62d8"
"0604810M","851a0e0956fe3f3be11e69d4d337d40df8d0237e-1-0e303f5aae89458e758689a0fcefba7b593aaedf","851a0e0956fe3f3be11e69d4d337d40df8d0237e","root","851a0e0956fe3f3be11e69d4d337d40df8d0237e-a950498dccdfa61773bd46075e82dd5d17af62d8"
"0604441F","8a412dc81e50142f8f284f41b328f96d84a887bf-0-8ea88bf34f7006880e613ad9f031b306f19b0b9a","8a412dc81e50142f8f284f41b328f96d84a887bf","root","8a412dc81e50142f8f284f41b328f96d84a887bf-da7e47198613c511a779a5dfb37f73871f18d5bb"
